#remtime-threshold(s),cumulativecost-mean(s),stddev
0.00,417.40,2.46
0.10,417.10,1.10
0.20,417.40,0.52
0.30,417.20,0.63
0.40,420.10,8.28
0.50,412.80,1.81
0.60,413.70,1.42
0.70,412.20,3.49
0.80,410.80,1.40
0.90,412.20,6.03
