False,01,00,none,False,982.674,0.001178
False,02,00,none,False,712.384,0.001246
False,03,00,none,False,305.302,0.001276
False,04,00,none,False,088.107,0.001312
False,05,00,none,False,071.993,0.001292
False,06,00,none,False,246.730,0.001341
False,07,00,none,False,059.599,0.001359
False,08,00,none,False,107.795,0.001367
False,09,00,none,False,054.853,0.001383
False,10,00,none,False,042.842,0.001416
False,01,10,none,False,1140.355,0.001099
False,02,10,none,False,155.317,0.001181
False,03,10,none,False,130.066,0.001198
False,04,10,none,False,089.917,0.001227
False,05,10,none,False,070.373,0.001233
False,06,10,none,False,149.231,0.001236
False,07,10,none,False,114.101,0.001290
False,08,10,none,False,235.109,0.001242
False,09,10,none,False,055.380,0.001298
False,10,10,none,False,118.716,0.001330
False,01,20,none,False,282.101,0.001090
False,02,20,none,False,140.503,0.001158
False,03,20,none,False,097.553,0.001167
False,04,20,none,False,075.626,0.001180
False,05,20,none,False,067.007,0.001232
False,06,20,none,False,058.012,0.001247
False,07,20,none,False,054.189,0.001278
False,08,20,none,False,049.648,0.001286
False,09,20,none,False,047.498,0.001297
False,10,20,none,False,042.794,0.001300
False,01,30,none,False,229.793,0.001046
False,02,30,none,False,123.911,0.001081
False,03,30,none,False,100.154,0.001121
False,04,30,none,False,079.324,0.001156
False,05,30,none,False,068.205,0.001147
False,06,30,none,False,063.431,0.001160
False,07,30,none,False,058.111,0.001182
False,08,30,none,False,051.790,0.001198
False,09,30,none,False,060.698,0.001235
False,10,30,none,False,037.127,0.001172
False,01,40,none,False,1236.909,0.001023
False,02,40,none,False,188.553,0.001058
False,03,40,none,False,095.718,0.001060
False,04,40,none,False,267.944,0.001090
False,05,40,none,False,063.504,0.001099
False,06,40,none,False,061.531,0.001145
False,07,40,none,False,053.580,0.001174
False,08,40,none,False,065.568,0.001124
False,09,40,none,False,073.669,0.001157
False,10,40,none,False,052.709,0.001201
False,01,50,none,False,314.363,0.000985
False,01,00,none,False,96500.000,0.001125
False,02,00,none,False,100600.000,0.001196
False,03,00,none,False,101400.000,0.001207
False,04,00,none,False,103200.000,0.001235
False,05,00,none,False,1052.000,0.001271
False,06,00,none,False,1058.000,0.001276
False,07,00,none,False,106.500,0.001303
False,08,00,none,False,108.500,0.001341
---
False,09,00,none,False,109.800,0.001363
