#remtime-threshold(s),cumulativecost-mean(s),stddev,maxthread(s)
0.00,760.18,3.28,81
0.10,763.36,12.99,107
0.20,755.00,8.41,109
0.30,764.00,18.15,155
0.40,777.64,26.22,153
0.50,752.45,3.78,181
0.60,747.91,2.63,202
0.70,760.64,7.74,353
0.80,746.73,6.89,394
0.90,746.64,7.30,745
