#remtime-threshold(s),cumulativecost-mean(s),stddev,maxthread(s)
0.00,2177.00,7.76,78
0.10,2175.18,3.25,163
0.20,2172.55,3.96,149
0.30,2234.82,42.21,193
0.40,2247.91,5.24,234
0.50,2241.18,7.72,301
0.60,2238.64,14.14,453
0.70,2234.27,6.21,467
0.80,2244.82,30.27,626
0.90,2221.55,7.98,1364
