  72 remaining, local duration 2.50 s, local cost 0.000030 USD
  71 remaining, local duration 3.00 s, local cost 0.000033 USD
  70 remaining, local duration 2.00 s, local cost 0.000023 USD
  69 remaining, local duration 1.30 s, local cost 0.000015 USD
  68 remaining, local duration 1.40 s, local cost 0.000016 USD
  70 remaining, local duration 1.60 s, local cost 0.000018 USD
  66 remaining, local duration 0.80 s, local cost 0.000010 USD
  65 remaining, local duration 1.40 s, local cost 0.000016 USD
  64 remaining, local duration 1.50 s, local cost 0.000017 USD
  63 remaining, local duration 2.20 s, local cost 0.000025 USD
  62 remaining, local duration 1.20 s, local cost 0.000015 USD
  61 remaining, local duration 1.60 s, local cost 0.000018 USD
  62 remaining, local duration 1.00 s, local cost 0.000012 USD
  59 remaining, local duration 1.30 s, local cost 0.000015 USD
  58 remaining, local duration 1.20 s, local cost 0.000014 USD
  60 remaining, local duration 1.50 s, local cost 0.000017 USD
  56 remaining, local duration 1.50 s, local cost 0.000017 USD
  55 remaining, local duration 2.20 s, local cost 0.000025 USD
  54 remaining, local duration 1.40 s, local cost 0.000016 USD
  54 remaining, local duration 1.20 s, local cost 0.000014 USD
  52 remaining, local duration 1.30 s, local cost 0.000015 USD
  51 remaining, local duration 1.60 s, local cost 0.000018 USD
  51 remaining, local duration 1.50 s, local cost 0.000017 USD
  49 remaining, local duration 1.70 s, local cost 0.000019 USD
  48 remaining, local duration 0.90 s, local cost 0.000011 USD
  49 remaining, local duration 0.90 s, local cost 0.000011 USD
  46 remaining, local duration 1.70 s, local cost 0.000019 USD
  45 remaining, local duration 1.40 s, local cost 0.000016 USD
  44 remaining, local duration 0.60 s, local cost 0.000008 USD
  46 remaining, local duration 1.50 s, local cost 0.000017 USD
  42 remaining, local duration 0.90 s, local cost 0.000011 USD
  41 remaining, local duration 1.00 s, local cost 0.000012 USD
  40 remaining, local duration 1.10 s, local cost 0.000013 USD
  42 remaining, local duration 1.70 s, local cost 0.000019 USD
  39 remaining, local duration 0.90 s, local cost 0.000011 USD
  37 remaining, local duration 1.50 s, local cost 0.000017 USD
  36 remaining, local duration 1.10 s, local cost 0.000013 USD
  35 remaining, local duration 1.40 s, local cost 0.000017 USD
  35 remaining, local duration 0.70 s, local cost 0.000009 USD
  33 remaining, local duration 1.10 s, local cost 0.000013 USD
  33 remaining, local duration 1.50 s, local cost 0.000017 USD
  31 remaining, local duration 1.70 s, local cost 0.000019 USD
  30 remaining, local duration 1.60 s, local cost 0.000018 USD
  29 remaining, local duration 0.60 s, local cost 0.000008 USD
  30 remaining, local duration 2.00 s, local cost 0.000022 USD
  27 remaining, local duration 1.00 s, local cost 0.000012 USD
  26 remaining, local duration 2.00 s, local cost 0.000022 USD
  25 remaining, local duration 1.10 s, local cost 0.000013 USD
  26 remaining, local duration 1.10 s, local cost 0.000013 USD
  24 remaining, local duration 0.90 s, local cost 0.000011 USD
  22 remaining, local duration 0.60 s, local cost 0.000008 USD
  25 remaining, local duration 1.20 s, local cost 0.000014 USD
  24 remaining, local duration 0.70 s, local cost 0.000009 USD
  19 remaining, local duration 1.70 s, local cost 0.000019 USD
  21 remaining, local duration 1.40 s, local cost 0.000016 USD
  17 remaining, local duration 1.20 s, local cost 0.000014 USD
  19 remaining, local duration 1.60 s, local cost 0.000018 USD
  15 remaining, local duration 1.10 s, local cost 0.000013 USD
  15 remaining, local duration 1.10 s, local cost 0.000013 USD
  13 remaining, local duration 1.30 s, local cost 0.000015 USD
  12 remaining, local duration 1.20 s, local cost 0.000014 USD
  11 remaining, local duration 2.20 s, local cost 0.000025 USD
  13 remaining, local duration 0.90 s, local cost 0.000011 USD
  12 remaining, local duration 1.60 s, local cost 0.000018 USD
   9 remaining, local duration 1.10 s, local cost 0.000013 USD
   9 remaining, local duration 1.90 s, local cost 0.000022 USD
   6 remaining, local duration 0.90 s, local cost 0.000011 USD
   5 remaining, local duration 1.00 s, local cost 0.000012 USD
   7 remaining, local duration 1.20 s, local cost 0.000014 USD
   3 remaining, local duration 1.60 s, local cost 0.000018 USD
   2 remaining, local duration 1.30 s, local cost 0.000015 USD
   3 remaining, local duration 0.90 s, local cost 0.000011 USD
   1 remaining, local duration 1.10 s, local cost 0.000013 USD
   0 remaining, local duration 0.10 s, local cost 0.000003 USD
overall processing time: 202.93 s, net duration: 98.70 s, invocations 74, cost: 0.001155 USD
configuration was: numpar=1 simulate=False | threshold=0 baseline=none bulk=False
