  72 remaining, local duration 1.60 s, local cost 0.000019 USD
  72 remaining, local duration 1.50 s, local cost 0.000018 USD
  72 remaining, local duration 1.50 s, local cost 0.000018 USD
  72 remaining, local duration 1.70 s, local cost 0.000020 USD
  72 remaining, local duration 1.90 s, local cost 0.000022 USD
  72 remaining, local duration 1.80 s, local cost 0.000021 USD
  72 remaining, local duration 2.30 s, local cost 0.000027 USD
  72 remaining, local duration 2.30 s, local cost 0.000027 USD
  72 remaining, local duration 1.30 s, local cost 0.000018 USD
  72 remaining, local duration 3.30 s, local cost 0.000037 USD
  72 remaining, local duration 0.70 s, local cost 0.000010 USD
  72 remaining, local duration 1.20 s, local cost 0.000015 USD
  62 remaining, local duration 1.40 s, local cost 0.000016 USD
  62 remaining, local duration 1.30 s, local cost 0.000016 USD
  72 remaining, local duration 1.50 s, local cost 0.000018 USD
  72 remaining, local duration 1.30 s, local cost 0.000016 USD
  72 remaining, local duration 1.70 s, local cost 0.000019 USD
  72 remaining, local duration 1.60 s, local cost 0.000019 USD
  62 remaining, local duration 1.70 s, local cost 0.000020 USD
  62 remaining, local duration 2.20 s, local cost 0.000025 USD
  52 remaining, local duration 1.00 s, local cost 0.000012 USD
  62 remaining, local duration 1.00 s, local cost 0.000012 USD
  62 remaining, local duration 1.10 s, local cost 0.000013 USD
  62 remaining, local duration 1.10 s, local cost 0.000014 USD
  62 remaining, local duration 1.40 s, local cost 0.000017 USD
  62 remaining, local duration 1.60 s, local cost 0.000019 USD
  62 remaining, local duration 1.60 s, local cost 0.000019 USD
  52 remaining, local duration 1.70 s, local cost 0.000020 USD
  72 remaining, local duration 1.80 s, local cost 0.000021 USD
  62 remaining, local duration 2.50 s, local cost 0.000028 USD
  42 remaining, local duration 0.60 s, local cost 0.000008 USD
  52 remaining, local duration 0.80 s, local cost 0.000010 USD
  62 remaining, local duration 1.00 s, local cost 0.000012 USD
  62 remaining, local duration 1.00 s, local cost 0.000012 USD
  42 remaining, local duration 0.90 s, local cost 0.000012 USD
  52 remaining, local duration 1.20 s, local cost 0.000015 USD
  62 remaining, local duration 1.30 s, local cost 0.000016 USD
  52 remaining, local duration 1.70 s, local cost 0.000020 USD
  52 remaining, local duration 1.60 s, local cost 0.000019 USD
  42 remaining, local duration 1.70 s, local cost 0.000020 USD
  32 remaining, local duration 0.80 s, local cost 0.000010 USD
  42 remaining, local duration 0.90 s, local cost 0.000011 USD
  52 remaining, local duration 1.20 s, local cost 0.000014 USD
  42 remaining, local duration 1.10 s, local cost 0.000014 USD
  32 remaining, local duration 1.20 s, local cost 0.000015 USD
  52 remaining, local duration 1.50 s, local cost 0.000017 USD
  32 remaining, local duration 1.30 s, local cost 0.000016 USD
  42 remaining, local duration 1.40 s, local cost 0.000017 USD
  32 remaining, local duration 1.60 s, local cost 0.000019 USD
  42 remaining, local duration 2.20 s, local cost 0.000025 USD
  32 remaining, local duration 1.20 s, local cost 0.000015 USD
  32 remaining, local duration 1.40 s, local cost 0.000016 USD
  32 remaining, local duration 1.30 s, local cost 0.000016 USD
  32 remaining, local duration 1.20 s, local cost 0.000015 USD
  32 remaining, local duration 1.70 s, local cost 0.000019 USD
  22 remaining, local duration 1.40 s, local cost 0.000017 USD
  32 remaining, local duration 1.50 s, local cost 0.000018 USD
  42 remaining, local duration 1.60 s, local cost 0.000019 USD
  42 remaining, local duration 1.80 s, local cost 0.000021 USD
  32 remaining, local duration 2.40 s, local cost 0.000027 USD
  22 remaining, local duration 0.90 s, local cost 0.000011 USD
  12 remaining, local duration 1.00 s, local cost 0.000012 USD
  22 remaining, local duration 0.90 s, local cost 0.000012 USD
  32 remaining, local duration 1.20 s, local cost 0.000014 USD
  12 remaining, local duration 1.00 s, local cost 0.000013 USD
  22 remaining, local duration 1.20 s, local cost 0.000015 USD
  22 remaining, local duration 1.60 s, local cost 0.000019 USD
  22 remaining, local duration 1.70 s, local cost 0.000020 USD
  32 remaining, local duration 2.00 s, local cost 0.000023 USD
  12 remaining, local duration 2.10 s, local cost 0.000024 USD
  23 remaining, local duration 0.10 s, local cost 0.000004 USD
  13 remaining, local duration 0.10 s, local cost 0.000004 USD
  23 remaining, local duration 0.10 s, local cost 0.000004 USD
  13 remaining, local duration 0.10 s, local cost 0.000004 USD
  13 remaining, local duration 0.10 s, local cost 0.000004 USD
  23 remaining, local duration 0.10 s, local cost 0.000004 USD
  13 remaining, local duration 0.10 s, local cost 0.000004 USD
  12 remaining, local duration 0.90 s, local cost 0.000011 USD
  12 remaining, local duration 1.10 s, local cost 0.000013 USD
  12 remaining, local duration 1.10 s, local cost 0.000013 USD
   3 remaining, local duration 0.10 s, local cost 0.000003 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
  13 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
  13 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
   3 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
overall processing time: 32.31 s, net duration: 107.50 s, invocations 90, cost: 0.001322 USD
configuration was: numpar=10 simulate=False | threshold=0 baseline=none bulk=False
