  72 remaining, local duration 1.40 s, local cost 0.000017 USD
  72 remaining, local duration 1.10 s, local cost 0.000014 USD
  72 remaining, local duration 1.60 s, local cost 0.000019 USD
  72 remaining, local duration 1.50 s, local cost 0.000018 USD
  72 remaining, local duration 1.80 s, local cost 0.000021 USD
  72 remaining, local duration 1.60 s, local cost 0.000020 USD
  72 remaining, local duration 1.60 s, local cost 0.000020 USD
  72 remaining, local duration 1.90 s, local cost 0.000022 USD
  64 remaining, local duration 1.70 s, local cost 0.000022 USD
  72 remaining, local duration 1.20 s, local cost 0.000014 USD
  64 remaining, local duration 1.30 s, local cost 0.000015 USD
  72 remaining, local duration 1.10 s, local cost 0.000014 USD
  72 remaining, local duration 1.30 s, local cost 0.000016 USD
  72 remaining, local duration 1.40 s, local cost 0.000017 USD
  72 remaining, local duration 2.00 s, local cost 0.000023 USD
  64 remaining, local duration 2.10 s, local cost 0.000024 USD
  72 remaining, local duration 2.10 s, local cost 0.000024 USD
  72 remaining, local duration 2.30 s, local cost 0.000026 USD
  72 remaining, local duration 0.80 s, local cost 0.000010 USD
  72 remaining, local duration 0.70 s, local cost 0.000009 USD
  54 remaining, local duration 1.10 s, local cost 0.000014 USD
  72 remaining, local duration 1.40 s, local cost 0.000016 USD
  64 remaining, local duration 1.30 s, local cost 0.000016 USD
  54 remaining, local duration 1.60 s, local cost 0.000018 USD
  54 remaining, local duration 1.60 s, local cost 0.000019 USD
  72 remaining, local duration 1.80 s, local cost 0.000021 USD
  72 remaining, local duration 1.70 s, local cost 0.000020 USD
  54 remaining, local duration 0.70 s, local cost 0.000010 USD
  54 remaining, local duration 1.00 s, local cost 0.000012 USD
  54 remaining, local duration 1.10 s, local cost 0.000014 USD
  54 remaining, local duration 1.20 s, local cost 0.000015 USD
  54 remaining, local duration 1.50 s, local cost 0.000017 USD
  54 remaining, local duration 1.40 s, local cost 0.000017 USD
  54 remaining, local duration 1.70 s, local cost 0.000020 USD
  54 remaining, local duration 1.70 s, local cost 0.000020 USD
  54 remaining, local duration 3.00 s, local cost 0.000033 USD
  54 remaining, local duration 1.00 s, local cost 0.000013 USD
  36 remaining, local duration 1.10 s, local cost 0.000014 USD
  36 remaining, local duration 1.20 s, local cost 0.000015 USD
  54 remaining, local duration 1.50 s, local cost 0.000017 USD
  36 remaining, local duration 1.30 s, local cost 0.000016 USD
  36 remaining, local duration 1.70 s, local cost 0.000019 USD
  36 remaining, local duration 1.50 s, local cost 0.000018 USD
  54 remaining, local duration 1.70 s, local cost 0.000020 USD
  36 remaining, local duration 2.20 s, local cost 0.000025 USD
  27 remaining, local duration 0.60 s, local cost 0.000008 USD
  36 remaining, local duration 1.00 s, local cost 0.000012 USD
  36 remaining, local duration 1.00 s, local cost 0.000012 USD
  27 remaining, local duration 1.00 s, local cost 0.000013 USD
  36 remaining, local duration 1.20 s, local cost 0.000015 USD
  36 remaining, local duration 1.20 s, local cost 0.000015 USD
  36 remaining, local duration 1.40 s, local cost 0.000017 USD
  36 remaining, local duration 1.60 s, local cost 0.000019 USD
  27 remaining, local duration 1.80 s, local cost 0.000021 USD
  18 remaining, local duration 1.00 s, local cost 0.000012 USD
  36 remaining, local duration 1.00 s, local cost 0.000012 USD
  18 remaining, local duration 1.00 s, local cost 0.000013 USD
  18 remaining, local duration 1.10 s, local cost 0.000014 USD
  18 remaining, local duration 1.30 s, local cost 0.000015 USD
  18 remaining, local duration 1.50 s, local cost 0.000017 USD
  36 remaining, local duration 1.60 s, local cost 0.000019 USD
  36 remaining, local duration 2.10 s, local cost 0.000023 USD
  27 remaining, local duration 2.20 s, local cost 0.000025 USD
  18 remaining, local duration 0.80 s, local cost 0.000010 USD
  18 remaining, local duration 1.20 s, local cost 0.000014 USD
  18 remaining, local duration 1.10 s, local cost 0.000014 USD
  18 remaining, local duration 1.30 s, local cost 0.000015 USD
  18 remaining, local duration 1.30 s, local cost 0.000016 USD
  18 remaining, local duration 1.80 s, local cost 0.000020 USD
  18 remaining, local duration 1.70 s, local cost 0.000020 USD
  18 remaining, local duration 1.60 s, local cost 0.000019 USD
  18 remaining, local duration 2.00 s, local cost 0.000023 USD
  19 remaining, local duration 0.10 s, local cost 0.000003 USD
  19 remaining, local duration 0.10 s, local cost 0.000003 USD
  19 remaining, local duration 0.10 s, local cost 0.000004 USD
   1 remaining, local duration 0.10 s, local cost 0.000004 USD
   1 remaining, local duration 0.10 s, local cost 0.000004 USD
   1 remaining, local duration 0.10 s, local cost 0.000004 USD
   1 remaining, local duration 0.10 s, local cost 0.000004 USD
   1 remaining, local duration 0.10 s, local cost 0.000004 USD
  18 remaining, local duration 1.00 s, local cost 0.000012 USD
   1 remaining, local duration 0.10 s, local cost 0.000003 USD
   1 remaining, local duration 0.10 s, local cost 0.000004 USD
   1 remaining, local duration 0.10 s, local cost 0.000004 USD
  19 remaining, local duration 0.10 s, local cost 0.000004 USD
   1 remaining, local duration 0.10 s, local cost 0.000004 USD
   1 remaining, local duration 0.10 s, local cost 0.000004 USD
   1 remaining, local duration 0.10 s, local cost 0.000004 USD
   1 remaining, local duration 0.10 s, local cost 0.000004 USD
   1 remaining, local duration 0.10 s, local cost 0.000004 USD
   1 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
   1 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
   1 remaining, local duration 0.10 s, local cost 0.000004 USD
   1 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
   1 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
overall processing time: 37.28 s, net duration: 107.50 s, invocations 99, cost: 0.001343 USD
configuration was: numpar=9 simulate=False | threshold=0 baseline=none bulk=False
