  72 remaining, cumulative cost 0.000020 USD
  72 remaining, cumulative cost 0.000038 USD
  72 remaining, cumulative cost 0.000057 USD
  72 remaining, cumulative cost 0.000078 USD
  71 remaining, cumulative cost 0.000106 USD
  71 remaining, cumulative cost 0.000134 USD
  72 remaining, cumulative cost 0.000165 USD
  71 remaining, cumulative cost 0.000203 USD
  70 remaining, cumulative cost 0.000255 USD
  70 remaining, cumulative cost 0.000308 USD
  56 remaining, cumulative cost 0.000363 USD
  68 remaining, cumulative cost 0.000445 USD
  64 remaining, cumulative cost 0.000541 USD
  65 remaining, cumulative cost 0.000642 USD
  64 remaining, cumulative cost 0.000745 USD
  22 remaining, cumulative cost 0.000757 USD
  22 remaining, cumulative cost 0.000772 USD
  22 remaining, cumulative cost 0.000786 USD
  22 remaining, cumulative cost 0.000800 USD
  22 remaining, cumulative cost 0.000813 USD
  22 remaining, cumulative cost 0.000832 USD
  21 remaining, cumulative cost 0.000855 USD
  21 remaining, cumulative cost 0.000876 USD
  21 remaining, cumulative cost 0.000898 USD
  22 remaining, cumulative cost 0.000922 USD
  21 remaining, cumulative cost 0.000950 USD
  21 remaining, cumulative cost 0.000977 USD
  21 remaining, cumulative cost 0.001003 USD
  21 remaining, cumulative cost 0.001035 USD
  21 remaining, cumulative cost 0.001070 USD
  23 remaining, cumulative cost 0.001073 USD
  23 remaining, cumulative cost 0.001076 USD
  23 remaining, cumulative cost 0.001080 USD
  23 remaining, cumulative cost 0.001084 USD
  23 remaining, cumulative cost 0.001089 USD
   0 remaining, cumulative cost 0.001135 USD
   0 remaining, cumulative cost 0.001182 USD
   0 remaining, cumulative cost 0.001228 USD
   0 remaining, cumulative cost 0.001275 USD
   0 remaining, cumulative cost 0.001322 USD
   0 remaining, cumulative cost 0.001369 USD
   0 remaining, cumulative cost 0.001415 USD
   0 remaining, cumulative cost 0.001462 USD
   0 remaining, cumulative cost 0.001509 USD
   0 remaining, cumulative cost 0.001556 USD
overall processing time: 46.24 s
configuration was: numpar=15 simulate=False
