  70 remaining, cumulative cost 0.000035 USD
  71 remaining, cumulative cost 0.000069 USD
  68 remaining, cumulative cost 0.000124 USD
  69 remaining, cumulative cost 0.000186 USD
  72 remaining, cumulative cost 0.000202 USD
  72 remaining, cumulative cost 0.000221 USD
  57 remaining, cumulative cost 0.000241 USD
  50 remaining, cumulative cost 0.000347 USD
  45 remaining, cumulative cost 0.000364 USD
  45 remaining, cumulative cost 0.000383 USD
  44 remaining, cumulative cost 0.000416 USD
  40 remaining, cumulative cost 0.000488 USD
  35 remaining, cumulative cost 0.000499 USD
  45 remaining, cumulative cost 0.000517 USD
  32 remaining, cumulative cost 0.000557 USD
  28 remaining, cumulative cost 0.000668 USD
  21 remaining, cumulative cost 0.000683 USD
  21 remaining, cumulative cost 0.000703 USD
  18 remaining, cumulative cost 0.000745 USD
  16 remaining, cumulative cost 0.000827 USD
  21 remaining, cumulative cost 0.000839 USD
   9 remaining, cumulative cost 0.000862 USD
   8 remaining, cumulative cost 0.000897 USD
   6 remaining, cumulative cost 0.000954 USD
  10 remaining, cumulative cost 0.000957 USD
   0 remaining, cumulative cost 0.001003 USD
   0 remaining, cumulative cost 0.001048 USD
   0 remaining, cumulative cost 0.001094 USD
overall processing time: 147.11 s
configuration was: numpar=4 simulate=False
