  72 remaining, local duration  1.30 s, local cost 0.000003 USD
  72 remaining, local duration  1.50 s, local cost 0.000003 USD
  72 remaining, local duration  1.70 s, local cost 0.000004 USD
  72 remaining, local duration  1.80 s, local cost 0.000004 USD
  72 remaining, local duration  2.50 s, local cost 0.000005 USD
  72 remaining, local duration  2.50 s, local cost 0.000005 USD
  72 remaining, local duration  1.30 s, local cost 0.000003 USD
  72 remaining, local duration  0.70 s, local cost 0.000002 USD
  65 remaining, local duration  1.00 s, local cost 0.000002 USD
  72 remaining, local duration  1.30 s, local cost 0.000003 USD
  72 remaining, local duration  1.40 s, local cost 0.000003 USD
  65 remaining, local duration  1.40 s, local cost 0.000003 USD
  72 remaining, local duration  1.70 s, local cost 0.000004 USD
  72 remaining, local duration  3.10 s, local cost 0.000007 USD
  72 remaining, local duration  1.40 s, local cost 0.000003 USD
  58 remaining, local duration  1.40 s, local cost 0.000003 USD
  58 remaining, local duration  1.60 s, local cost 0.000004 USD
  58 remaining, local duration  1.80 s, local cost 0.000004 USD
  58 remaining, local duration  1.30 s, local cost 0.000003 USD
  72 remaining, local duration  2.10 s, local cost 0.000005 USD
  72 remaining, local duration  2.20 s, local cost 0.000005 USD
  58 remaining, local duration  1.60 s, local cost 0.000004 USD
  58 remaining, local duration  1.60 s, local cost 0.000004 USD
  58 remaining, local duration  1.60 s, local cost 0.000004 USD
  49 remaining, local duration  1.20 s, local cost 0.000003 USD
  49 remaining, local duration  1.20 s, local cost 0.000003 USD
  58 remaining, local duration  1.50 s, local cost 0.000003 USD
  45 remaining, local duration  1.10 s, local cost 0.000002 USD
  44 remaining, local duration  1.00 s, local cost 0.000002 USD
  49 remaining, local duration  1.20 s, local cost 0.000003 USD
  45 remaining, local duration  1.40 s, local cost 0.000003 USD
  44 remaining, local duration  1.50 s, local cost 0.000003 USD
  49 remaining, local duration  1.70 s, local cost 0.000004 USD
  44 remaining, local duration  1.40 s, local cost 0.000003 USD
  44 remaining, local duration  1.70 s, local cost 0.000004 USD
  45 remaining, local duration  0.70 s, local cost 0.000002 USD
  44 remaining, local duration  0.90 s, local cost 0.000002 USD
  44 remaining, local duration  0.90 s, local cost 0.000002 USD
  46 remaining, local duration  1.00 s, local cost 0.000002 USD
  44 remaining, local duration  1.60 s, local cost 0.000004 USD
  44 remaining, local duration  1.70 s, local cost 0.000004 USD
  37 remaining, local duration  1.70 s, local cost 0.000004 USD
  37 remaining, local duration  0.60 s, local cost 0.000001 USD
  37 remaining, local duration  1.10 s, local cost 0.000002 USD
  44 remaining, local duration  1.30 s, local cost 0.000003 USD
  37 remaining, local duration  1.40 s, local cost 0.000003 USD
  44 remaining, local duration  1.40 s, local cost 0.000003 USD
  37 remaining, local duration  1.70 s, local cost 0.000004 USD
  37 remaining, local duration  1.70 s, local cost 0.000004 USD
  37 remaining, local duration  1.00 s, local cost 0.000002 USD
  23 remaining, local duration  1.00 s, local cost 0.000002 USD
  23 remaining, local duration  1.10 s, local cost 0.000002 USD
  37 remaining, local duration  1.00 s, local cost 0.000002 USD
  30 remaining, local duration  1.30 s, local cost 0.000003 USD
  23 remaining, local duration  1.30 s, local cost 0.000003 USD
  30 remaining, local duration  2.10 s, local cost 0.000005 USD
  30 remaining, local duration  1.10 s, local cost 0.000002 USD
  16 remaining, local duration  1.00 s, local cost 0.000002 USD
  16 remaining, local duration  1.30 s, local cost 0.000003 USD
  23 remaining, local duration  1.30 s, local cost 0.000003 USD
  23 remaining, local duration  1.50 s, local cost 0.000003 USD
  23 remaining, local duration  1.70 s, local cost 0.000004 USD
  16 remaining, local duration  2.40 s, local cost 0.000005 USD
  16 remaining, local duration  0.80 s, local cost 0.000002 USD
  16 remaining, local duration  1.20 s, local cost 0.000003 USD
  23 remaining, local duration  1.20 s, local cost 0.000003 USD
  16 remaining, local duration  1.20 s, local cost 0.000003 USD
  16 remaining, local duration  1.80 s, local cost 0.000004 USD
  23 remaining, local duration  2.00 s, local cost 0.000004 USD
   9 remaining, local duration  2.10 s, local cost 0.000005 USD
  10 remaining, local duration  0.10 s, local cost 0.000000 USD
   3 remaining, local duration  0.10 s, local cost 0.000000 USD
   3 remaining, local duration  0.10 s, local cost 0.000000 USD
  10 remaining, local duration  0.10 s, local cost 0.000000 USD
   2 remaining, local duration  1.10 s, local cost 0.000002 USD
  16 remaining, local duration  1.20 s, local cost 0.000003 USD
  16 remaining, local duration  1.60 s, local cost 0.000004 USD
   3 remaining, local duration  0.10 s, local cost 0.000000 USD
   3 remaining, local duration  0.10 s, local cost 0.000000 USD
   3 remaining, local duration  0.10 s, local cost 0.000000 USD
  10 remaining, local duration  0.10 s, local cost 0.000000 USD
   0 remaining, local duration  0.10 s, local cost 0.000000 USD
   3 remaining, local duration  0.10 s, local cost 0.000000 USD
   3 remaining, local duration  0.10 s, local cost 0.000000 USD
overall processing time: 49.01 s, net duration: 106.80 s, invocations 84, cost: 0.000239 USD
configuration was: numpar=7 simulate=False | threshold=0 baseline=individual bulk=False
