  71 remaining, local duration 2.30 s, local cost 0.000026 USD
  71 remaining, local duration 3.30 s, local cost 0.000037 USD
  70 remaining, local duration 4.70 s, local cost 0.000051 USD
  65 remaining, local duration 9.10 s, local cost 0.000097 USD
  52 remaining, local duration 6.20 s, local cost 0.000067 USD
  52 remaining, local duration 6.70 s, local cost 0.000072 USD
  53 remaining, local duration 7.40 s, local cost 0.000079 USD
  50 remaining, local duration 9.00 s, local cost 0.000096 USD
  31 remaining, local duration 2.00 s, local cost 0.000023 USD
  30 remaining, local duration 3.80 s, local cost 0.000042 USD
  24 remaining, local duration 9.20 s, local cost 0.000098 USD
  22 remaining, local duration 12.10 s, local cost 0.000128 USD
   6 remaining, local duration 1.90 s, local cost 0.000022 USD
   6 remaining, local duration 2.10 s, local cost 0.000024 USD
   6 remaining, local duration 1.80 s, local cost 0.000021 USD
   6 remaining, local duration 2.80 s, local cost 0.000031 USD
   0 remaining, local duration 0.10 s, local cost 0.000003 USD
   8 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
overall processing time: 41.72 s, net duration: 84.80 s, invocations 20, cost: 0.000928 USD
configuration was: numpar=4 simulate=False | threshold=80 baseline=none bulk=False
