  69 remaining, cumulative cost 0.000056 USD
  67 remaining, cumulative cost 0.000121 USD
  69 remaining, cumulative cost 0.000188 USD
  68 remaining, cumulative cost 0.000254 USD
  65 remaining, cumulative cost 0.000323 USD
  67 remaining, cumulative cost 0.000389 USD
  68 remaining, cumulative cost 0.000455 USD
  66 remaining, cumulative cost 0.000525 USD
  67 remaining, cumulative cost 0.000597 USD
  68 remaining, cumulative cost 0.000669 USD
  68 remaining, cumulative cost 0.000736 USD
  69 remaining, cumulative cost 0.000809 USD
  69 remaining, cumulative cost 0.000884 USD
  69 remaining, cumulative cost 0.000961 USD
  73 remaining, cumulative cost 0.000964 USD
   0 remaining, cumulative cost 0.001010 USD
   0 remaining, cumulative cost 0.001056 USD
   0 remaining, cumulative cost 0.001103 USD
   0 remaining, cumulative cost 0.001149 USD
   0 remaining, cumulative cost 0.001195 USD
   0 remaining, cumulative cost 0.001242 USD
   0 remaining, cumulative cost 0.001289 USD
   0 remaining, cumulative cost 0.001336 USD
   0 remaining, cumulative cost 0.001383 USD
   0 remaining, cumulative cost 0.001429 USD
   0 remaining, cumulative cost 0.001476 USD
   0 remaining, cumulative cost 0.001523 USD
   0 remaining, cumulative cost 0.001570 USD
overall processing time: 36.17 s
configuration was: numpar=14 simulate=False
