  80 remaining, cumulative cost 0.000054 USD
  77 remaining, cumulative cost 0.000148 USD
  72 remaining, cumulative cost 0.000166 USD
  69 remaining, cumulative cost 0.000232 USD
  67 remaining, cumulative cost 0.000254 USD
  57 remaining, cumulative cost 0.000378 USD
  55 remaining, cumulative cost 0.000397 USD
  44 remaining, cumulative cost 0.000549 USD
  41 remaining, cumulative cost 0.000571 USD
  38 remaining, cumulative cost 0.000617 USD
  25 remaining, cumulative cost 0.000741 USD
  23 remaining, cumulative cost 0.000914 USD
   8 remaining, cumulative cost 0.000933 USD
   5 remaining, cumulative cost 0.000992 USD
   7 remaining, cumulative cost 0.001026 USD
   3 remaining, cumulative cost 0.001060 USD
   0 remaining, cumulative cost 0.001105 USD
   0 remaining, cumulative cost 0.001151 USD
overall processing time: 128.54 s
configuration was: numpar=2 simulate=False
