  72 remaining, cumulative cost 0.000016 USD
  72 remaining, cumulative cost 0.000037 USD
  71 remaining, cumulative cost 0.000069 USD
  70 remaining, cumulative cost 0.000113 USD
  70 remaining, cumulative cost 0.000159 USD
  69 remaining, cumulative cost 0.000212 USD
  68 remaining, cumulative cost 0.000266 USD
  69 remaining, cumulative cost 0.000324 USD
  69 remaining, cumulative cost 0.000382 USD
  69 remaining, cumulative cost 0.000437 USD
  68 remaining, cumulative cost 0.000493 USD
  70 remaining, cumulative cost 0.000546 USD
  68 remaining, cumulative cost 0.000604 USD
  68 remaining, cumulative cost 0.000662 USD
  68 remaining, cumulative cost 0.000724 USD
  68 remaining, cumulative cost 0.000784 USD
  69 remaining, cumulative cost 0.000850 USD
  68 remaining, cumulative cost 0.000918 USD
  68 remaining, cumulative cost 0.000987 USD
  73 remaining, cumulative cost 0.000990 USD
  73 remaining, cumulative cost 0.000993 USD
  73 remaining, cumulative cost 0.000997 USD
  73 remaining, cumulative cost 0.001000 USD
  73 remaining, cumulative cost 0.001004 USD
  73 remaining, cumulative cost 0.001008 USD
   0 remaining, cumulative cost 0.001053 USD
   0 remaining, cumulative cost 0.001099 USD
   0 remaining, cumulative cost 0.001145 USD
   0 remaining, cumulative cost 0.001191 USD
   0 remaining, cumulative cost 0.001238 USD
   0 remaining, cumulative cost 0.001284 USD
   0 remaining, cumulative cost 0.001331 USD
   0 remaining, cumulative cost 0.001377 USD
   0 remaining, cumulative cost 0.001424 USD
   0 remaining, cumulative cost 0.001471 USD
   0 remaining, cumulative cost 0.001518 USD
   0 remaining, cumulative cost 0.001564 USD
   0 remaining, cumulative cost 0.001611 USD
overall processing time: 33.60 s
configuration was: numpar=19 simulate=False
