  30 remaining, cumulative cost 0.000024 USD
  30 remaining, cumulative cost 0.000051 USD
  27 remaining, cumulative cost 0.000097 USD
  27 remaining, cumulative cost 0.000146 USD
  29 remaining, cumulative cost 0.000184 USD
  26 remaining, cumulative cost 0.000235 USD
  26 remaining, cumulative cost 0.000286 USD
  28 remaining, cumulative cost 0.000338 USD
  25 remaining, cumulative cost 0.000400 USD
  31 remaining, cumulative cost 0.000404 USD
  31 remaining, cumulative cost 0.000407 USD
  31 remaining, cumulative cost 0.000411 USD
  31 remaining, cumulative cost 0.000415 USD
  31 remaining, cumulative cost 0.000420 USD
   0 remaining, cumulative cost 0.000465 USD
   0 remaining, cumulative cost 0.000512 USD
   0 remaining, cumulative cost 0.000558 USD
   0 remaining, cumulative cost 0.000605 USD
overall processing time: 33.19 s
configuration was: numpar=9 simulate=False
