  72 remaining, cumulative cost 0.000022 USD
  69 remaining, cumulative cost 0.000062 USD
  68 remaining, cumulative cost 0.000125 USD
  66 remaining, cumulative cost 0.000205 USD
  67 remaining, cumulative cost 0.000303 USD
  64 remaining, cumulative cost 0.000394 USD
  66 remaining, cumulative cost 0.000497 USD
  65 remaining, cumulative cost 0.000603 USD
  64 remaining, cumulative cost 0.000709 USD
  64 remaining, cumulative cost 0.000818 USD
  65 remaining, cumulative cost 0.000930 USD
   0 remaining, cumulative cost 0.000976 USD
   0 remaining, cumulative cost 0.001023 USD
   0 remaining, cumulative cost 0.001069 USD
   0 remaining, cumulative cost 0.001116 USD
   0 remaining, cumulative cost 0.001162 USD
   0 remaining, cumulative cost 0.001209 USD
   0 remaining, cumulative cost 0.001256 USD
   0 remaining, cumulative cost 0.001302 USD
   0 remaining, cumulative cost 0.001349 USD
   0 remaining, cumulative cost 0.001397 USD
   0 remaining, cumulative cost 0.001444 USD
overall processing time: 38.15 s
configuration was: numpar=11 simulate=False
