  71 remaining, local duration 1.40 s, local cost 0.000017 USD
  71 remaining, local duration 1.50 s, local cost 0.000018 USD
  72 remaining, local duration 1.90 s, local cost 0.000023 USD
  71 remaining, local duration 2.20 s, local cost 0.000026 USD
  71 remaining, local duration 2.60 s, local cost 0.000029 USD
  71 remaining, local duration 2.80 s, local cost 0.000031 USD
  71 remaining, local duration 2.80 s, local cost 0.000031 USD
  72 remaining, local duration 1.40 s, local cost 0.000019 USD
  70 remaining, local duration 3.30 s, local cost 0.000037 USD
  70 remaining, local duration 3.80 s, local cost 0.000042 USD
  52 remaining, local duration 1.60 s, local cost 0.000018 USD
  52 remaining, local duration 2.10 s, local cost 0.000024 USD
  72 remaining, local duration 2.10 s, local cost 0.000024 USD
  50 remaining, local duration 3.40 s, local cost 0.000038 USD
  70 remaining, local duration 4.20 s, local cost 0.000045 USD
  47 remaining, local duration 5.80 s, local cost 0.000062 USD
  48 remaining, local duration 5.90 s, local cost 0.000064 USD
  48 remaining, local duration 6.00 s, local cost 0.000064 USD
  68 remaining, local duration 6.80 s, local cost 0.000073 USD
  47 remaining, local duration 8.80 s, local cost 0.000094 USD
  16 remaining, local duration 1.00 s, local cost 0.000012 USD
  16 remaining, local duration 1.00 s, local cost 0.000013 USD
  16 remaining, local duration 1.30 s, local cost 0.000016 USD
  15 remaining, local duration 2.00 s, local cost 0.000023 USD
  15 remaining, local duration 2.20 s, local cost 0.000025 USD
  16 remaining, local duration 2.20 s, local cost 0.000025 USD
  14 remaining, local duration 2.50 s, local cost 0.000028 USD
  15 remaining, local duration 2.70 s, local cost 0.000030 USD
  15 remaining, local duration 3.00 s, local cost 0.000033 USD
  15 remaining, local duration 3.30 s, local cost 0.000036 USD
  17 remaining, local duration 0.10 s, local cost 0.000003 USD
  17 remaining, local duration 0.10 s, local cost 0.000003 USD
  17 remaining, local duration 0.10 s, local cost 0.000003 USD
  17 remaining, local duration 0.10 s, local cost 0.000004 USD
  17 remaining, local duration 0.10 s, local cost 0.000004 USD
  17 remaining, local duration 0.10 s, local cost 0.000004 USD
  17 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
  17 remaining, local duration 0.10 s, local cost 0.000004 USD
overall processing time: 23.00 s, net duration: 92.60 s, invocations 40, cost: 0.001057 USD
configuration was: numpar=10 simulate=False | threshold=70 baseline=none bulk=False
