  72 remaining, local duration 1.10 s, local cost 0.000014 USD
  72 remaining, local duration 1.80 s, local cost 0.000021 USD
  72 remaining, local duration 1.80 s, local cost 0.000021 USD
  71 remaining, local duration 2.80 s, local cost 0.000031 USD
  69 remaining, local duration 5.10 s, local cost 0.000055 USD
  69 remaining, local duration 6.40 s, local cost 0.000069 USD
  60 remaining, local duration 6.90 s, local cost 0.000076 USD
  66 remaining, local duration 9.80 s, local cost 0.000105 USD
  65 remaining, local duration 10.90 s, local cost 0.000116 USD
  37 remaining, local duration 1.00 s, local cost 0.000013 USD
  38 remaining, local duration 1.60 s, local cost 0.000019 USD
  37 remaining, local duration 1.90 s, local cost 0.000021 USD
  38 remaining, local duration 1.60 s, local cost 0.000019 USD
  37 remaining, local duration 2.50 s, local cost 0.000028 USD
  36 remaining, local duration 2.90 s, local cost 0.000032 USD
  36 remaining, local duration 2.50 s, local cost 0.000029 USD
  34 remaining, local duration 4.60 s, local cost 0.000050 USD
  29 remaining, local duration 11.70 s, local cost 0.000124 USD
  10 remaining, local duration 1.20 s, local cost 0.000015 USD
   9 remaining, local duration 1.50 s, local cost 0.000017 USD
  10 remaining, local duration 1.30 s, local cost 0.000016 USD
  10 remaining, local duration 1.30 s, local cost 0.000016 USD
  10 remaining, local duration 1.50 s, local cost 0.000018 USD
  10 remaining, local duration 1.40 s, local cost 0.000017 USD
  10 remaining, local duration 1.90 s, local cost 0.000022 USD
  10 remaining, local duration 2.00 s, local cost 0.000023 USD
   9 remaining, local duration 2.70 s, local cost 0.000030 USD
  11 remaining, local duration 0.10 s, local cost 0.000003 USD
  11 remaining, local duration 0.10 s, local cost 0.000003 USD
  11 remaining, local duration 0.10 s, local cost 0.000003 USD
  11 remaining, local duration 0.10 s, local cost 0.000003 USD
  11 remaining, local duration 0.10 s, local cost 0.000004 USD
  11 remaining, local duration 0.10 s, local cost 0.000004 USD
  11 remaining, local duration 0.10 s, local cost 0.000004 USD
  11 remaining, local duration 0.10 s, local cost 0.000004 USD
  11 remaining, local duration 0.10 s, local cost 0.000004 USD
  11 remaining, local duration 0.10 s, local cost 0.000003 USD
  11 remaining, local duration 0.10 s, local cost 0.000003 USD
  11 remaining, local duration 0.10 s, local cost 0.000004 USD
  11 remaining, local duration 0.10 s, local cost 0.000004 USD
  11 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
overall processing time: 34.55 s, net duration: 93.50 s, invocations 45, cost: 0.001082 USD
configuration was: numpar=9 simulate=False | threshold=70 baseline=none bulk=False
