  71 remaining, cumulative cost 0.000027 USD
  70 remaining, cumulative cost 0.000063 USD
  67 remaining, cumulative cost 0.000145 USD
  66 remaining, cumulative cost 0.000233 USD
  66 remaining, cumulative cost 0.000320 USD
  65 remaining, cumulative cost 0.000407 USD
  67 remaining, cumulative cost 0.000494 USD
  67 remaining, cumulative cost 0.000581 USD
  67 remaining, cumulative cost 0.000661 USD
  65 remaining, cumulative cost 0.000759 USD
  67 remaining, cumulative cost 0.000851 USD
  65 remaining, cumulative cost 0.000946 USD
   0 remaining, cumulative cost 0.000993 USD
   0 remaining, cumulative cost 0.001040 USD
   0 remaining, cumulative cost 0.001086 USD
   0 remaining, cumulative cost 0.001133 USD
   0 remaining, cumulative cost 0.001179 USD
   0 remaining, cumulative cost 0.001226 USD
   0 remaining, cumulative cost 0.001273 USD
   0 remaining, cumulative cost 0.001319 USD
   0 remaining, cumulative cost 0.001366 USD
   0 remaining, cumulative cost 0.001413 USD
   0 remaining, cumulative cost 0.001460 USD
   0 remaining, cumulative cost 0.001508 USD
overall processing time: 36.94 s
configuration was: numpar=12 simulate=False
