  72 remaining, local duration 0.90 s, local cost 0.000012 USD
  72 remaining, local duration 1.10 s, local cost 0.000013 USD
  71 remaining, local duration 3.40 s, local cost 0.000038 USD
  72 remaining, local duration 3.20 s, local cost 0.000036 USD
  72 remaining, local duration 1.40 s, local cost 0.000016 USD
  67 remaining, local duration 1.50 s, local cost 0.000017 USD
  67 remaining, local duration 1.50 s, local cost 0.000018 USD
  66 remaining, local duration 2.60 s, local cost 0.000029 USD
  67 remaining, local duration 1.00 s, local cost 0.000012 USD
  67 remaining, local duration 1.60 s, local cost 0.000018 USD
  62 remaining, local duration 1.70 s, local cost 0.000020 USD
  71 remaining, local duration 2.20 s, local cost 0.000025 USD
  57 remaining, local duration 1.00 s, local cost 0.000012 USD
  67 remaining, local duration 1.40 s, local cost 0.000016 USD
  57 remaining, local duration 1.20 s, local cost 0.000015 USD
  56 remaining, local duration 3.10 s, local cost 0.000034 USD
  52 remaining, local duration 0.80 s, local cost 0.000010 USD
  52 remaining, local duration 1.20 s, local cost 0.000014 USD
  57 remaining, local duration 1.10 s, local cost 0.000014 USD
  57 remaining, local duration 1.60 s, local cost 0.000018 USD
  48 remaining, local duration 1.20 s, local cost 0.000015 USD
  48 remaining, local duration 1.60 s, local cost 0.000018 USD
  57 remaining, local duration 1.50 s, local cost 0.000018 USD
  57 remaining, local duration 2.00 s, local cost 0.000023 USD
  48 remaining, local duration 1.10 s, local cost 0.000014 USD
  44 remaining, local duration 1.20 s, local cost 0.000014 USD
  48 remaining, local duration 2.20 s, local cost 0.000025 USD
  52 remaining, local duration 2.30 s, local cost 0.000025 USD
  40 remaining, local duration 1.10 s, local cost 0.000013 USD
  44 remaining, local duration 1.70 s, local cost 0.000020 USD
  48 remaining, local duration 1.70 s, local cost 0.000020 USD
  43 remaining, local duration 1.80 s, local cost 0.000021 USD
  40 remaining, local duration 0.90 s, local cost 0.000011 USD
  40 remaining, local duration 1.20 s, local cost 0.000014 USD
  44 remaining, local duration 1.60 s, local cost 0.000018 USD
  40 remaining, local duration 1.50 s, local cost 0.000017 USD
  35 remaining, local duration 1.20 s, local cost 0.000014 USD
  34 remaining, local duration 1.90 s, local cost 0.000022 USD
  39 remaining, local duration 2.80 s, local cost 0.000031 USD
  38 remaining, local duration 3.40 s, local cost 0.000037 USD
  31 remaining, local duration 0.90 s, local cost 0.000011 USD
  31 remaining, local duration 1.40 s, local cost 0.000016 USD
  22 remaining, local duration 2.50 s, local cost 0.000028 USD
  29 remaining, local duration 3.00 s, local cost 0.000033 USD
  23 remaining, local duration 0.60 s, local cost 0.000008 USD
  15 remaining, local duration 1.50 s, local cost 0.000017 USD
  14 remaining, local duration 2.90 s, local cost 0.000032 USD
  22 remaining, local duration 3.20 s, local cost 0.000035 USD
   8 remaining, local duration 0.90 s, local cost 0.000011 USD
  16 remaining, local duration 1.10 s, local cost 0.000013 USD
   8 remaining, local duration 2.00 s, local cost 0.000023 USD
   8 remaining, local duration 2.30 s, local cost 0.000026 USD
   8 remaining, local duration 1.10 s, local cost 0.000013 USD
   8 remaining, local duration 1.00 s, local cost 0.000012 USD
   4 remaining, local duration 1.10 s, local cost 0.000013 USD
  16 remaining, local duration 2.00 s, local cost 0.000023 USD
   1 remaining, local duration 0.10 s, local cost 0.000003 USD
   9 remaining, local duration 0.10 s, local cost 0.000003 USD
   1 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 1.10 s, local cost 0.000013 USD
overall processing time: 57.13 s, net duration: 96.30 s, invocations 60, cost: 0.001116 USD
configuration was: numpar=4 simulate=False | threshold=20 baseline=none bulk=False
