  72 remaining, cumulative cost 0.000020 USD
  70 remaining, cumulative cost 0.000092 USD
  72 remaining, cumulative cost 0.000107 USD
  48 remaining, cumulative cost 0.000354 USD
  46 remaining, cumulative cost 0.000365 USD
  45 remaining, cumulative cost 0.000392 USD
  43 remaining, cumulative cost 0.000408 USD
  45 remaining, cumulative cost 0.000440 USD
  38 remaining, cumulative cost 0.000472 USD
  37 remaining, cumulative cost 0.000513 USD
  32 remaining, cumulative cost 0.000536 USD
  17 remaining, cumulative cost 0.000732 USD
  12 remaining, cumulative cost 0.000760 USD
   9 remaining, cumulative cost 0.000823 USD
  13 remaining, cumulative cost 0.000845 USD
  12 remaining, cumulative cost 0.000874 USD
   5 remaining, cumulative cost 0.000910 USD
   1 remaining, cumulative cost 0.000951 USD
   0 remaining, cumulative cost 0.000996 USD
   0 remaining, cumulative cost 0.001041 USD
overall processing time: 134.70 s
configuration was: numpar=2 simulate=False
