  70 remaining, cumulative cost 0.000035 USD
  69 remaining, cumulative cost 0.000084 USD
  64 remaining, cumulative cost 0.000112 USD
  64 remaining, cumulative cost 0.000143 USD
  61 remaining, cumulative cost 0.000150 USD
  60 remaining, cumulative cost 0.000165 USD
  61 remaining, cumulative cost 0.000188 USD
  59 remaining, cumulative cost 0.000216 USD
  55 remaining, cumulative cost 0.000241 USD
  53 remaining, cumulative cost 0.000265 USD
  50 remaining, cumulative cost 0.000318 USD
  47 remaining, cumulative cost 0.000331 USD
  46 remaining, cumulative cost 0.000346 USD
  45 remaining, cumulative cost 0.000378 USD
  43 remaining, cumulative cost 0.000453 USD
  35 remaining, cumulative cost 0.000511 USD
  34 remaining, cumulative cost 0.000527 USD
  29 remaining, cumulative cost 0.000590 USD
  26 remaining, cumulative cost 0.000622 USD
  23 remaining, cumulative cost 0.000660 USD
  21 remaining, cumulative cost 0.000692 USD
  17 remaining, cumulative cost 0.000737 USD
  14 remaining, cumulative cost 0.000777 USD
  13 remaining, cumulative cost 0.000789 USD
  12 remaining, cumulative cost 0.000804 USD
  11 remaining, cumulative cost 0.000825 USD
   0 remaining, cumulative cost 0.000932 USD
overall processing time: 232.43 s
configuration was: numpar=1 simulate=False
