  71 remaining, cumulative cost 0.000025 USD
  72 remaining, cumulative cost 0.000052 USD
  72 remaining, cumulative cost 0.000079 USD
  52 remaining, cumulative cost 0.000343 USD
  46 remaining, cumulative cost 0.000367 USD
  45 remaining, cumulative cost 0.000397 USD
  44 remaining, cumulative cost 0.000446 USD
  33 remaining, cumulative cost 0.000622 USD
  23 remaining, cumulative cost 0.000633 USD
  22 remaining, cumulative cost 0.000659 USD
  22 remaining, cumulative cost 0.000692 USD
  22 remaining, cumulative cost 0.000728 USD
  16 remaining, cumulative cost 0.000738 USD
  16 remaining, cumulative cost 0.000753 USD
  11 remaining, cumulative cost 0.000805 USD
   8 remaining, cumulative cost 0.000902 USD
   0 remaining, cumulative cost 0.000948 USD
   0 remaining, cumulative cost 0.000993 USD
   0 remaining, cumulative cost 0.001038 USD
   0 remaining, cumulative cost 0.001084 USD
overall processing time: 152.61 s
configuration was: numpar=4 simulate=False
