  72 remaining, cumulative cost 0.000011 USD
  72 remaining, cumulative cost 0.000023 USD
  72 remaining, cumulative cost 0.000039 USD
  71 remaining, cumulative cost 0.000065 USD
  70 remaining, cumulative cost 0.000100 USD
  70 remaining, cumulative cost 0.000146 USD
  62 remaining, cumulative cost 0.000197 USD
  50 remaining, cumulative cost 0.000275 USD
  55 remaining, cumulative cost 0.000475 USD
  35 remaining, cumulative cost 0.000487 USD
  33 remaining, cumulative cost 0.000534 USD
  32 remaining, cumulative cost 0.000583 USD
  31 remaining, cumulative cost 0.000634 USD
  31 remaining, cumulative cost 0.000686 USD
  31 remaining, cumulative cost 0.000737 USD
  31 remaining, cumulative cost 0.000791 USD
  32 remaining, cumulative cost 0.000849 USD
  32 remaining, cumulative cost 0.000907 USD
  36 remaining, cumulative cost 0.000910 USD
  36 remaining, cumulative cost 0.000913 USD
  36 remaining, cumulative cost 0.000916 USD
  36 remaining, cumulative cost 0.000919 USD
   0 remaining, cumulative cost 0.000964 USD
   0 remaining, cumulative cost 0.001009 USD
   0 remaining, cumulative cost 0.001054 USD
   0 remaining, cumulative cost 0.001099 USD
   0 remaining, cumulative cost 0.001144 USD
overall processing time: 49.11 s
configuration was: numpar=9 simulate=False
