  72 remaining, cumulative cost 0.000014 USD
  71 remaining, cumulative cost 0.000051 USD
  67 remaining, cumulative cost 0.000121 USD
  72 remaining, cumulative cost 0.000135 USD
  72 remaining, cumulative cost 0.000158 USD
  60 remaining, cumulative cost 0.000231 USD
  57 remaining, cumulative cost 0.000249 USD
  60 remaining, cumulative cost 0.000298 USD
  54 remaining, cumulative cost 0.000411 USD
  41 remaining, cumulative cost 0.000435 USD
  37 remaining, cumulative cost 0.000487 USD
  29 remaining, cumulative cost 0.000635 USD
  17 remaining, cumulative cost 0.000681 USD
  18 remaining, cumulative cost 0.000726 USD
   7 remaining, cumulative cost 0.000878 USD
   0 remaining, cumulative cost 0.000922 USD
   0 remaining, cumulative cost 0.000968 USD
   0 remaining, cumulative cost 0.001013 USD
overall processing time: 81.50 s
configuration was: numpar=3 simulate=False
