  72 remaining, cumulative cost 0.000022 USD
  72 remaining, cumulative cost 0.000049 USD
  71 remaining, cumulative cost 0.000080 USD
  71 remaining, cumulative cost 0.000117 USD
  72 remaining, cumulative cost 0.000142 USD
  67 remaining, cumulative cost 0.000161 USD
  66 remaining, cumulative cost 0.000217 USD
  67 remaining, cumulative cost 0.000300 USD
  53 remaining, cumulative cost 0.000313 USD
  54 remaining, cumulative cost 0.000325 USD
  54 remaining, cumulative cost 0.000341 USD
  67 remaining, cumulative cost 0.000360 USD
  53 remaining, cumulative cost 0.000385 USD
  54 remaining, cumulative cost 0.000408 USD
  53 remaining, cumulative cost 0.000441 USD
  53 remaining, cumulative cost 0.000488 USD
  42 remaining, cumulative cost 0.000504 USD
  54 remaining, cumulative cost 0.000524 USD
  41 remaining, cumulative cost 0.000545 USD
  53 remaining, cumulative cost 0.000567 USD
  41 remaining, cumulative cost 0.000602 USD
  53 remaining, cumulative cost 0.000639 USD
  40 remaining, cumulative cost 0.000679 USD
  37 remaining, cumulative cost 0.000737 USD
  23 remaining, cumulative cost 0.000747 USD
  23 remaining, cumulative cost 0.000764 USD
  23 remaining, cumulative cost 0.000781 USD
  23 remaining, cumulative cost 0.000807 USD
  21 remaining, cumulative cost 0.000836 USD
  22 remaining, cumulative cost 0.000870 USD
  20 remaining, cumulative cost 0.000914 USD
  18 remaining, cumulative cost 0.000980 USD
  23 remaining, cumulative cost 0.000993 USD
  23 remaining, cumulative cost 0.001006 USD
  22 remaining, cumulative cost 0.001040 USD
   5 remaining, cumulative cost 0.001064 USD
   5 remaining, cumulative cost 0.001089 USD
   5 remaining, cumulative cost 0.001114 USD
   5 remaining, cumulative cost 0.001139 USD
   4 remaining, cumulative cost 0.001179 USD
   0 remaining, cumulative cost 0.001224 USD
   0 remaining, cumulative cost 0.001270 USD
   0 remaining, cumulative cost 0.001316 USD
   0 remaining, cumulative cost 0.001361 USD
   0 remaining, cumulative cost 0.001407 USD
   0 remaining, cumulative cost 0.001454 USD
   0 remaining, cumulative cost 0.001500 USD
   0 remaining, cumulative cost 0.001547 USD
overall processing time: 78.51 s
configuration was: numpar=8 simulate=False
