  71 remaining, cumulative cost 0.000016 USD
  72 remaining, cumulative cost 0.000032 USD
  72 remaining, cumulative cost 0.000052 USD
  72 remaining, cumulative cost 0.000073 USD
  72 remaining, cumulative cost 0.000092 USD
  72 remaining, cumulative cost 0.000113 USD
  72 remaining, cumulative cost 0.000133 USD
  72 remaining, cumulative cost 0.000153 USD
  72 remaining, cumulative cost 0.000175 USD
  72 remaining, cumulative cost 0.000197 USD
  71 remaining, cumulative cost 0.000229 USD
  71 remaining, cumulative cost 0.000269 USD
  72 remaining, cumulative cost 0.000306 USD
  71 remaining, cumulative cost 0.000344 USD
  70 remaining, cumulative cost 0.000390 USD
  70 remaining, cumulative cost 0.000438 USD
  70 remaining, cumulative cost 0.000490 USD
  70 remaining, cumulative cost 0.000546 USD
  69 remaining, cumulative cost 0.000602 USD
  67 remaining, cumulative cost 0.000676 USD
  72 remaining, cumulative cost 0.000692 USD
  32 remaining, cumulative cost 0.000705 USD
  32 remaining, cumulative cost 0.000717 USD
  32 remaining, cumulative cost 0.000733 USD
  72 remaining, cumulative cost 0.000752 USD
  72 remaining, cumulative cost 0.000772 USD
  32 remaining, cumulative cost 0.000787 USD
  31 remaining, cumulative cost 0.000804 USD
  31 remaining, cumulative cost 0.000825 USD
  31 remaining, cumulative cost 0.000849 USD
  71 remaining, cumulative cost 0.000870 USD
  31 remaining, cumulative cost 0.000893 USD
  72 remaining, cumulative cost 0.000918 USD
  31 remaining, cumulative cost 0.000939 USD
  30 remaining, cumulative cost 0.000963 USD
  31 remaining, cumulative cost 0.000988 USD
  31 remaining, cumulative cost 0.001014 USD
  31 remaining, cumulative cost 0.001047 USD
  31 remaining, cumulative cost 0.001078 USD
  71 remaining, cumulative cost 0.001114 USD
  33 remaining, cumulative cost 0.001117 USD
  33 remaining, cumulative cost 0.001120 USD
  33 remaining, cumulative cost 0.001123 USD
  33 remaining, cumulative cost 0.001126 USD
  33 remaining, cumulative cost 0.001130 USD
  33 remaining, cumulative cost 0.001134 USD
   0 remaining, cumulative cost 0.001179 USD
   0 remaining, cumulative cost 0.001224 USD
   0 remaining, cumulative cost 0.001270 USD
   0 remaining, cumulative cost 0.001315 USD
   0 remaining, cumulative cost 0.001361 USD
   0 remaining, cumulative cost 0.001407 USD
   0 remaining, cumulative cost 0.001453 USD
   0 remaining, cumulative cost 0.001499 USD
   0 remaining, cumulative cost 0.001545 USD
   0 remaining, cumulative cost 0.001591 USD
   0 remaining, cumulative cost 0.001638 USD
   0 remaining, cumulative cost 0.001684 USD
   0 remaining, cumulative cost 0.001731 USD
   0 remaining, cumulative cost 0.001777 USD
overall processing time: 40.08 s
configuration was: numpar=20 simulate=False
