  72 remaining, cumulative cost 0.000020 USD
  72 remaining, cumulative cost 0.000039 USD
  72 remaining, cumulative cost 0.000059 USD
  70 remaining, cumulative cost 0.000100 USD
  71 remaining, cumulative cost 0.000143 USD
  69 remaining, cumulative cost 0.000206 USD
  72 remaining, cumulative cost 0.000223 USD
  71 remaining, cumulative cost 0.000249 USD
  59 remaining, cumulative cost 0.000289 USD
  57 remaining, cumulative cost 0.000347 USD
  68 remaining, cumulative cost 0.000407 USD
  53 remaining, cumulative cost 0.000485 USD
  38 remaining, cumulative cost 0.000494 USD
  38 remaining, cumulative cost 0.000513 USD
  38 remaining, cumulative cost 0.000533 USD
  37 remaining, cumulative cost 0.000558 USD
  36 remaining, cumulative cost 0.000581 USD
  33 remaining, cumulative cost 0.000642 USD
  36 remaining, cumulative cost 0.000657 USD
  25 remaining, cumulative cost 0.000683 USD
  24 remaining, cumulative cost 0.000719 USD
  35 remaining, cumulative cost 0.000768 USD
  23 remaining, cumulative cost 0.000819 USD
  22 remaining, cumulative cost 0.000882 USD
  26 remaining, cumulative cost 0.000896 USD
  25 remaining, cumulative cost 0.000923 USD
   7 remaining, cumulative cost 0.000943 USD
   6 remaining, cumulative cost 0.000968 USD
   7 remaining, cumulative cost 0.000994 USD
   7 remaining, cumulative cost 0.001021 USD
   8 remaining, cumulative cost 0.001033 USD
   8 remaining, cumulative cost 0.001044 USD
   8 remaining, cumulative cost 0.001056 USD
   8 remaining, cumulative cost 0.001068 USD
   0 remaining, cumulative cost 0.001113 USD
   0 remaining, cumulative cost 0.001159 USD
overall processing time: 69.13 s
configuration was: numpar=6 simulate=False
