  72 remaining, cumulative cost 0.000012 USD
  72 remaining, cumulative cost 0.000027 USD
  72 remaining, cumulative cost 0.000048 USD
  72 remaining, cumulative cost 0.000064 USD
  72 remaining, cumulative cost 0.000085 USD
  72 remaining, cumulative cost 0.000114 USD
  71 remaining, cumulative cost 0.000143 USD
  71 remaining, cumulative cost 0.000175 USD
  71 remaining, cumulative cost 0.000206 USD
  71 remaining, cumulative cost 0.000239 USD
  70 remaining, cumulative cost 0.000280 USD
  71 remaining, cumulative cost 0.000318 USD
  70 remaining, cumulative cost 0.000360 USD
  70 remaining, cumulative cost 0.000406 USD
  72 remaining, cumulative cost 0.000444 USD
  69 remaining, cumulative cost 0.000501 USD
  42 remaining, cumulative cost 0.000511 USD
  72 remaining, cumulative cost 0.000525 USD
  42 remaining, cumulative cost 0.000538 USD
  41 remaining, cumulative cost 0.000556 USD
  71 remaining, cumulative cost 0.000575 USD
  42 remaining, cumulative cost 0.000591 USD
  72 remaining, cumulative cost 0.000609 USD
  72 remaining, cumulative cost 0.000628 USD
  42 remaining, cumulative cost 0.000649 USD
  71 remaining, cumulative cost 0.000677 USD
  42 remaining, cumulative cost 0.000703 USD
  41 remaining, cumulative cost 0.000739 USD
  41 remaining, cumulative cost 0.000772 USD
  40 remaining, cumulative cost 0.000806 USD
  41 remaining, cumulative cost 0.000844 USD
  38 remaining, cumulative cost 0.000901 USD
  14 remaining, cumulative cost 0.000915 USD
  15 remaining, cumulative cost 0.000919 USD
  42 remaining, cumulative cost 0.000934 USD
  14 remaining, cumulative cost 0.000944 USD
  14 remaining, cumulative cost 0.000960 USD
  41 remaining, cumulative cost 0.000979 USD
  14 remaining, cumulative cost 0.000997 USD
  14 remaining, cumulative cost 0.001018 USD
  42 remaining, cumulative cost 0.001038 USD
  14 remaining, cumulative cost 0.001057 USD
  14 remaining, cumulative cost 0.001077 USD
  15 remaining, cumulative cost 0.001081 USD
  42 remaining, cumulative cost 0.001105 USD
  14 remaining, cumulative cost 0.001125 USD
  42 remaining, cumulative cost 0.001145 USD
  14 remaining, cumulative cost 0.001164 USD
  15 remaining, cumulative cost 0.001167 USD
  15 remaining, cumulative cost 0.001170 USD
  15 remaining, cumulative cost 0.001174 USD
  15 remaining, cumulative cost 0.001177 USD
  15 remaining, cumulative cost 0.001181 USD
  15 remaining, cumulative cost 0.001184 USD
  15 remaining, cumulative cost 0.001188 USD
  15 remaining, cumulative cost 0.001192 USD
  15 remaining, cumulative cost 0.001196 USD
  15 remaining, cumulative cost 0.001200 USD
  15 remaining, cumulative cost 0.001204 USD
  15 remaining, cumulative cost 0.001208 USD
  15 remaining, cumulative cost 0.001212 USD
  15 remaining, cumulative cost 0.001216 USD
  15 remaining, cumulative cost 0.001220 USD
  15 remaining, cumulative cost 0.001224 USD
  15 remaining, cumulative cost 0.001227 USD
  15 remaining, cumulative cost 0.001231 USD
  15 remaining, cumulative cost 0.001234 USD
  15 remaining, cumulative cost 0.001238 USD
  15 remaining, cumulative cost 0.001241 USD
  15 remaining, cumulative cost 0.001245 USD
  15 remaining, cumulative cost 0.001249 USD
   0 remaining, cumulative cost 0.001295 USD
   0 remaining, cumulative cost 0.001340 USD
   0 remaining, cumulative cost 0.001387 USD
   0 remaining, cumulative cost 0.001433 USD
   0 remaining, cumulative cost 0.001480 USD
   0 remaining, cumulative cost 0.001526 USD
   0 remaining, cumulative cost 0.001572 USD
   0 remaining, cumulative cost 0.001619 USD
   0 remaining, cumulative cost 0.001666 USD
overall processing time: 48.62 s
configuration was: numpar=16 simulate=False
