#remtime-threshold(s),cumulativecost-mean(s),stddev,maxthread(s)
0.00,88.45,1.04,3
0.10,87.09,0.54,4
0.20,86.09,0.94,6
0.30,83.18,0.75,7
0.40,81.82,1.33,7
0.50,83.09,2.66,9
0.60,79.55,1.29,11
0.70,78.64,1.12,18
0.80,79.45,1.63,16
0.90,72.64,1.29,43
