  72 remaining, local duration 1.10 s, local cost 0.000014 USD
  72 remaining, local duration 1.90 s, local cost 0.000022 USD
  72 remaining, local duration 2.30 s, local cost 0.000027 USD
  72 remaining, local duration 2.40 s, local cost 0.000028 USD
  71 remaining, local duration 2.50 s, local cost 0.000029 USD
  71 remaining, local duration 2.90 s, local cost 0.000032 USD
  71 remaining, local duration 1.80 s, local cost 0.000022 USD
  70 remaining, local duration 4.10 s, local cost 0.000045 USD
  71 remaining, local duration 4.20 s, local cost 0.000046 USD
  69 remaining, local duration 4.40 s, local cost 0.000049 USD
  53 remaining, local duration 1.50 s, local cost 0.000018 USD
  72 remaining, local duration 2.20 s, local cost 0.000025 USD
  70 remaining, local duration 2.30 s, local cost 0.000026 USD
  53 remaining, local duration 2.00 s, local cost 0.000024 USD
  71 remaining, local duration 2.60 s, local cost 0.000029 USD
  70 remaining, local duration 2.80 s, local cost 0.000031 USD
  52 remaining, local duration 2.80 s, local cost 0.000031 USD
  52 remaining, local duration 2.80 s, local cost 0.000031 USD
  52 remaining, local duration 3.00 s, local cost 0.000033 USD
  51 remaining, local duration 3.40 s, local cost 0.000037 USD
  53 remaining, local duration 1.00 s, local cost 0.000012 USD
  53 remaining, local duration 1.20 s, local cost 0.000014 USD
  53 remaining, local duration 1.30 s, local cost 0.000015 USD
  33 remaining, local duration 1.20 s, local cost 0.000015 USD
  33 remaining, local duration 1.30 s, local cost 0.000016 USD
  33 remaining, local duration 2.00 s, local cost 0.000023 USD
  52 remaining, local duration 2.50 s, local cost 0.000028 USD
  52 remaining, local duration 2.90 s, local cost 0.000032 USD
  51 remaining, local duration 3.40 s, local cost 0.000037 USD
  50 remaining, local duration 3.40 s, local cost 0.000038 USD
  16 remaining, local duration 1.50 s, local cost 0.000018 USD
  15 remaining, local duration 1.70 s, local cost 0.000020 USD
  33 remaining, local duration 1.80 s, local cost 0.000021 USD
  32 remaining, local duration 2.10 s, local cost 0.000023 USD
  52 remaining, local duration 2.10 s, local cost 0.000023 USD
  52 remaining, local duration 2.10 s, local cost 0.000024 USD
  16 remaining, local duration 2.30 s, local cost 0.000026 USD
  32 remaining, local duration 2.60 s, local cost 0.000029 USD
  15 remaining, local duration 2.60 s, local cost 0.000029 USD
  32 remaining, local duration 2.80 s, local cost 0.000031 USD
  17 remaining, local duration 0.10 s, local cost 0.000003 USD
  17 remaining, local duration 0.10 s, local cost 0.000003 USD
  17 remaining, local duration 0.10 s, local cost 0.000004 USD
  17 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
  17 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
  17 remaining, local duration 0.10 s, local cost 0.000004 USD
  17 remaining, local duration 0.10 s, local cost 0.000004 USD
overall processing time: 22.90 s, net duration: 95.80 s, invocations 50, cost: 0.001112 USD
configuration was: numpar=10 simulate=False | threshold=60 baseline=none bulk=False
