  72 remaining, local duration 1.40 s, local cost 0.000017 USD
  72 remaining, local duration 1.60 s, local cost 0.000019 USD
  72 remaining, local duration 1.80 s, local cost 0.000022 USD
  72 remaining, local duration 1.90 s, local cost 0.000022 USD
  67 remaining, local duration 2.60 s, local cost 0.000031 USD
  70 remaining, local duration 4.30 s, local cost 0.000047 USD
  69 remaining, local duration 5.60 s, local cost 0.000061 USD
  72 remaining, local duration 0.60 s, local cost 0.000008 USD
  72 remaining, local duration 1.20 s, local cost 0.000014 USD
  68 remaining, local duration 1.40 s, local cost 0.000017 USD
  59 remaining, local duration 1.60 s, local cost 0.000019 USD
  72 remaining, local duration 2.20 s, local cost 0.000025 USD
  58 remaining, local duration 4.20 s, local cost 0.000045 USD
  67 remaining, local duration 6.90 s, local cost 0.000074 USD
  46 remaining, local duration 1.30 s, local cost 0.000016 USD
  46 remaining, local duration 1.20 s, local cost 0.000015 USD
  59 remaining, local duration 1.70 s, local cost 0.000020 USD
  58 remaining, local duration 2.40 s, local cost 0.000027 USD
  45 remaining, local duration 2.50 s, local cost 0.000028 USD
  58 remaining, local duration 2.60 s, local cost 0.000030 USD
  50 remaining, local duration 8.60 s, local cost 0.000091 USD
  46 remaining, local duration 0.90 s, local cost 0.000012 USD
  27 remaining, local duration 1.40 s, local cost 0.000016 USD
  46 remaining, local duration 1.30 s, local cost 0.000016 USD
  27 remaining, local duration 1.70 s, local cost 0.000020 USD
  27 remaining, local duration 2.20 s, local cost 0.000025 USD
  24 remaining, local duration 3.40 s, local cost 0.000037 USD
  25 remaining, local duration 3.80 s, local cost 0.000042 USD
  27 remaining, local duration 1.10 s, local cost 0.000013 USD
  27 remaining, local duration 1.10 s, local cost 0.000013 USD
  27 remaining, local duration 1.20 s, local cost 0.000015 USD
  14 remaining, local duration 1.90 s, local cost 0.000022 USD
  14 remaining, local duration 2.30 s, local cost 0.000026 USD
  24 remaining, local duration 5.70 s, local cost 0.000061 USD
  11 remaining, local duration 5.50 s, local cost 0.000059 USD
  16 remaining, local duration 0.10 s, local cost 0.000003 USD
  16 remaining, local duration 0.10 s, local cost 0.000003 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
  16 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 0.10 s, local cost 0.000003 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
overall processing time: 40.45 s, net duration: 91.80 s, invocations 42, cost: 0.001046 USD
configuration was: numpar=7 simulate=False | threshold=60 baseline=none bulk=False
