  72 remaining, cumulative cost 0.000017 USD
  66 remaining, cumulative cost 0.000098 USD
  65 remaining, cumulative cost 0.000107 USD
  69 remaining, cumulative cost 0.000149 USD
  59 remaining, cumulative cost 0.000190 USD
  49 remaining, cumulative cost 0.000367 USD
  45 remaining, cumulative cost 0.000382 USD
  43 remaining, cumulative cost 0.000420 USD
  41 remaining, cumulative cost 0.000437 USD
  40 remaining, cumulative cost 0.000460 USD
  43 remaining, cumulative cost 0.000487 USD
  41 remaining, cumulative cost 0.000529 USD
  38 remaining, cumulative cost 0.000541 USD
  29 remaining, cumulative cost 0.000577 USD
  27 remaining, cumulative cost 0.000598 USD
  26 remaining, cumulative cost 0.000628 USD
  24 remaining, cumulative cost 0.000641 USD
  23 remaining, cumulative cost 0.000671 USD
  21 remaining, cumulative cost 0.000685 USD
  22 remaining, cumulative cost 0.000716 USD
  17 remaining, cumulative cost 0.000729 USD
  17 remaining, cumulative cost 0.000750 USD
  15 remaining, cumulative cost 0.000765 USD
  14 remaining, cumulative cost 0.000807 USD
  17 remaining, cumulative cost 0.000817 USD
  15 remaining, cumulative cost 0.000830 USD
   9 remaining, cumulative cost 0.000861 USD
   5 remaining, cumulative cost 0.000934 USD
   1 remaining, cumulative cost 0.000975 USD
   0 remaining, cumulative cost 0.001024 USD
overall processing time: 117.73 s
configuration was: numpar=2 simulate=False
