  72 remaining, cumulative cost 0.000029 USD
  71 remaining, cumulative cost 0.000058 USD
  71 remaining, cumulative cost 0.000084 USD
  71 remaining, cumulative cost 0.000117 USD
  70 remaining, cumulative cost 0.000162 USD
  69 remaining, cumulative cost 0.000226 USD
  62 remaining, cumulative cost 0.000305 USD
  53 remaining, cumulative cost 0.000320 USD
  53 remaining, cumulative cost 0.000336 USD
  53 remaining, cumulative cost 0.000356 USD
  52 remaining, cumulative cost 0.000377 USD
  51 remaining, cumulative cost 0.000410 USD
  52 remaining, cumulative cost 0.000449 USD
  63 remaining, cumulative cost 0.000494 USD
  39 remaining, cumulative cost 0.000503 USD
  39 remaining, cumulative cost 0.000523 USD
  53 remaining, cumulative cost 0.000541 USD
  38 remaining, cumulative cost 0.000564 USD
  51 remaining, cumulative cost 0.000593 USD
  53 remaining, cumulative cost 0.000618 USD
  52 remaining, cumulative cost 0.000647 USD
  28 remaining, cumulative cost 0.000660 USD
  39 remaining, cumulative cost 0.000678 USD
  38 remaining, cumulative cost 0.000708 USD
  37 remaining, cumulative cost 0.000740 USD
  25 remaining, cumulative cost 0.000782 USD
  35 remaining, cumulative cost 0.000847 USD
  34 remaining, cumulative cost 0.000919 USD
  28 remaining, cumulative cost 0.000933 USD
  28 remaining, cumulative cost 0.000948 USD
  27 remaining, cumulative cost 0.000978 USD
   7 remaining, cumulative cost 0.000995 USD
   6 remaining, cumulative cost 0.001019 USD
   6 remaining, cumulative cost 0.001047 USD
   6 remaining, cumulative cost 0.001078 USD
   0 remaining, cumulative cost 0.001123 USD
   0 remaining, cumulative cost 0.001169 USD
   0 remaining, cumulative cost 0.001215 USD
   0 remaining, cumulative cost 0.001261 USD
   0 remaining, cumulative cost 0.001307 USD
   0 remaining, cumulative cost 0.001354 USD
   0 remaining, cumulative cost 0.001400 USD
overall processing time: 65.81 s
configuration was: numpar=7 simulate=False
