  72 remaining, cumulative cost 0.000018 USD
  72 remaining, cumulative cost 0.000038 USD
  72 remaining, cumulative cost 0.000061 USD
  71 remaining, cumulative cost 0.000094 USD
  71 remaining, cumulative cost 0.000126 USD
  71 remaining, cumulative cost 0.000165 USD
  70 remaining, cumulative cost 0.000221 USD
  68 remaining, cumulative cost 0.000273 USD
  68 remaining, cumulative cost 0.000343 USD
  64 remaining, cumulative cost 0.000469 USD
  40 remaining, cumulative cost 0.000487 USD
  40 remaining, cumulative cost 0.000511 USD
  40 remaining, cumulative cost 0.000534 USD
  41 remaining, cumulative cost 0.000559 USD
  40 remaining, cumulative cost 0.000581 USD
  39 remaining, cumulative cost 0.000609 USD
  39 remaining, cumulative cost 0.000642 USD
  39 remaining, cumulative cost 0.000677 USD
  38 remaining, cumulative cost 0.000719 USD
  37 remaining, cumulative cost 0.000773 USD
  41 remaining, cumulative cost 0.000784 USD
  19 remaining, cumulative cost 0.000799 USD
  19 remaining, cumulative cost 0.000814 USD
  40 remaining, cumulative cost 0.000830 USD
  40 remaining, cumulative cost 0.000856 USD
  19 remaining, cumulative cost 0.000880 USD
  18 remaining, cumulative cost 0.000906 USD
  39 remaining, cumulative cost 0.000937 USD
  36 remaining, cumulative cost 0.000987 USD
  19 remaining, cumulative cost 0.000998 USD
  20 remaining, cumulative cost 0.001002 USD
  19 remaining, cumulative cost 0.001015 USD
  19 remaining, cumulative cost 0.001034 USD
  19 remaining, cumulative cost 0.001053 USD
   3 remaining, cumulative cost 0.001086 USD
   3 remaining, cumulative cost 0.001120 USD
   3 remaining, cumulative cost 0.001154 USD
   3 remaining, cumulative cost 0.001188 USD
   3 remaining, cumulative cost 0.001222 USD
   3 remaining, cumulative cost 0.001256 USD
   0 remaining, cumulative cost 0.001302 USD
   0 remaining, cumulative cost 0.001348 USD
   0 remaining, cumulative cost 0.001394 USD
   0 remaining, cumulative cost 0.001441 USD
   0 remaining, cumulative cost 0.001487 USD
   0 remaining, cumulative cost 0.001534 USD
   0 remaining, cumulative cost 0.001581 USD
   0 remaining, cumulative cost 0.001627 USD
   0 remaining, cumulative cost 0.001674 USD
   0 remaining, cumulative cost 0.001720 USD
overall processing time: 79.89 s
configuration was: numpar=10 simulate=False
