  72 remaining, cumulative cost 0.000021 USD
  72 remaining, cumulative cost 0.000036 USD
  72 remaining, cumulative cost 0.000058 USD
  72 remaining, cumulative cost 0.000080 USD
  72 remaining, cumulative cost 0.000104 USD
  72 remaining, cumulative cost 0.000133 USD
  72 remaining, cumulative cost 0.000163 USD
  71 remaining, cumulative cost 0.000205 USD
  67 remaining, cumulative cost 0.000263 USD
  69 remaining, cumulative cost 0.000324 USD
  67 remaining, cumulative cost 0.000406 USD
  67 remaining, cumulative cost 0.000508 USD
  41 remaining, cumulative cost 0.000517 USD
  41 remaining, cumulative cost 0.000534 USD
  41 remaining, cumulative cost 0.000551 USD
  40 remaining, cumulative cost 0.000570 USD
  41 remaining, cumulative cost 0.000597 USD
  40 remaining, cumulative cost 0.000623 USD
  40 remaining, cumulative cost 0.000648 USD
  39 remaining, cumulative cost 0.000684 USD
  39 remaining, cumulative cost 0.000720 USD
  39 remaining, cumulative cost 0.000760 USD
  34 remaining, cumulative cost 0.000842 USD
  35 remaining, cumulative cost 0.000925 USD
   9 remaining, cumulative cost 0.000934 USD
   9 remaining, cumulative cost 0.000943 USD
   9 remaining, cumulative cost 0.000953 USD
   9 remaining, cumulative cost 0.000962 USD
   8 remaining, cumulative cost 0.000982 USD
   8 remaining, cumulative cost 0.001001 USD
   8 remaining, cumulative cost 0.001022 USD
   7 remaining, cumulative cost 0.001047 USD
   8 remaining, cumulative cost 0.001072 USD
   8 remaining, cumulative cost 0.001094 USD
   8 remaining, cumulative cost 0.001122 USD
   8 remaining, cumulative cost 0.001151 USD
   9 remaining, cumulative cost 0.001158 USD
   9 remaining, cumulative cost 0.001166 USD
   9 remaining, cumulative cost 0.001174 USD
   9 remaining, cumulative cost 0.001182 USD
   0 remaining, cumulative cost 0.001228 USD
   0 remaining, cumulative cost 0.001274 USD
   0 remaining, cumulative cost 0.001320 USD
   0 remaining, cumulative cost 0.001367 USD
   0 remaining, cumulative cost 0.001413 USD
   0 remaining, cumulative cost 0.001460 USD
   0 remaining, cumulative cost 0.001507 USD
   0 remaining, cumulative cost 0.001554 USD
overall processing time: 57.61 s
configuration was: numpar=12 simulate=False
