  72 remaining, local duration 1.50 s, local cost 0.000017 USD
  72 remaining, local duration 1.60 s, local cost 0.000018 USD
  72 remaining, local duration 1.40 s, local cost 0.000017 USD
  71 remaining, local duration 2.70 s, local cost 0.000030 USD
  71 remaining, local duration 3.40 s, local cost 0.000037 USD
  72 remaining, local duration 2.00 s, local cost 0.000025 USD
  70 remaining, local duration 3.10 s, local cost 0.000035 USD
  71 remaining, local duration 3.70 s, local cost 0.000041 USD
  59 remaining, local duration 0.70 s, local cost 0.000009 USD
  72 remaining, local duration 0.90 s, local cost 0.000011 USD
  72 remaining, local duration 1.60 s, local cost 0.000018 USD
  59 remaining, local duration 1.60 s, local cost 0.000018 USD
  59 remaining, local duration 1.60 s, local cost 0.000019 USD
  59 remaining, local duration 1.50 s, local cost 0.000018 USD
  59 remaining, local duration 2.20 s, local cost 0.000025 USD
  58 remaining, local duration 3.30 s, local cost 0.000036 USD
  50 remaining, local duration 0.60 s, local cost 0.000009 USD
  59 remaining, local duration 1.10 s, local cost 0.000013 USD
  59 remaining, local duration 1.70 s, local cost 0.000020 USD
  59 remaining, local duration 1.60 s, local cost 0.000019 USD
  58 remaining, local duration 2.40 s, local cost 0.000027 USD
  49 remaining, local duration 2.20 s, local cost 0.000025 USD
  57 remaining, local duration 3.20 s, local cost 0.000035 USD
  58 remaining, local duration 3.70 s, local cost 0.000040 USD
  37 remaining, local duration 0.90 s, local cost 0.000011 USD
  37 remaining, local duration 0.90 s, local cost 0.000011 USD
  11 remaining, local duration 1.00 s, local cost 0.000012 USD
  37 remaining, local duration 1.40 s, local cost 0.000017 USD
  59 remaining, local duration 1.70 s, local cost 0.000019 USD
  36 remaining, local duration 2.00 s, local cost 0.000023 USD
  36 remaining, local duration 2.70 s, local cost 0.000030 USD
  57 remaining, local duration 3.20 s, local cost 0.000035 USD
  25 remaining, local duration 0.60 s, local cost 0.000008 USD
  50 remaining, local duration 1.10 s, local cost 0.000013 USD
  25 remaining, local duration 1.00 s, local cost 0.000012 USD
  25 remaining, local duration 1.10 s, local cost 0.000014 USD
  37 remaining, local duration 1.20 s, local cost 0.000015 USD
  37 remaining, local duration 2.30 s, local cost 0.000026 USD
  23 remaining, local duration 3.10 s, local cost 0.000034 USD
  32 remaining, local duration 7.50 s, local cost 0.000080 USD
  10 remaining, local duration 0.70 s, local cost 0.000010 USD
  10 remaining, local duration 0.90 s, local cost 0.000012 USD
  10 remaining, local duration 1.60 s, local cost 0.000019 USD
  10 remaining, local duration 1.70 s, local cost 0.000020 USD
   9 remaining, local duration 1.90 s, local cost 0.000022 USD
  24 remaining, local duration 2.10 s, local cost 0.000023 USD
  10 remaining, local duration 1.90 s, local cost 0.000022 USD
   9 remaining, local duration 3.50 s, local cost 0.000038 USD
  11 remaining, local duration 0.10 s, local cost 0.000003 USD
  11 remaining, local duration 0.10 s, local cost 0.000003 USD
  11 remaining, local duration 0.10 s, local cost 0.000003 USD
  11 remaining, local duration 0.10 s, local cost 0.000004 USD
  11 remaining, local duration 0.10 s, local cost 0.000004 USD
  11 remaining, local duration 0.10 s, local cost 0.000004 USD
  11 remaining, local duration 0.10 s, local cost 0.000004 USD
  11 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 0.10 s, local cost 0.000003 USD
   0 remaining, local duration 0.10 s, local cost 0.000003 USD
   0 remaining, local duration 0.10 s, local cost 0.000003 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
  11 remaining, local duration 0.10 s, local cost 0.000004 USD
  11 remaining, local duration 0.10 s, local cost 0.000004 USD
overall processing time: 38.26 s, net duration: 96.90 s, invocations 64, cost: 0.001149 USD
configuration was: numpar=8 simulate=False | threshold=40 baseline=none bulk=False
