  72 remaining, local duration 1.50 s, local cost 0.000018 USD
  72 remaining, local duration 1.80 s, local cost 0.000021 USD
  72 remaining, local duration 1.70 s, local cost 0.000021 USD
  72 remaining, local duration 1.80 s, local cost 0.000021 USD
  72 remaining, local duration 2.40 s, local cost 0.000027 USD
  71 remaining, local duration 2.20 s, local cost 0.000026 USD
  71 remaining, local duration 2.80 s, local cost 0.000031 USD
  72 remaining, local duration 1.50 s, local cost 0.000020 USD
  72 remaining, local duration 1.30 s, local cost 0.000015 USD
  72 remaining, local duration 1.40 s, local cost 0.000016 USD
  72 remaining, local duration 1.50 s, local cost 0.000017 USD
  72 remaining, local duration 1.20 s, local cost 0.000015 USD
  72 remaining, local duration 1.40 s, local cost 0.000017 USD
  72 remaining, local duration 1.60 s, local cost 0.000019 USD
  72 remaining, local duration 1.60 s, local cost 0.000019 USD
  72 remaining, local duration 2.00 s, local cost 0.000023 USD
  54 remaining, local duration 0.80 s, local cost 0.000010 USD
  72 remaining, local duration 1.40 s, local cost 0.000016 USD
  54 remaining, local duration 1.30 s, local cost 0.000016 USD
  54 remaining, local duration 1.50 s, local cost 0.000017 USD
  54 remaining, local duration 1.60 s, local cost 0.000019 USD
  72 remaining, local duration 1.70 s, local cost 0.000020 USD
  71 remaining, local duration 2.20 s, local cost 0.000025 USD
  72 remaining, local duration 3.00 s, local cost 0.000033 USD
  45 remaining, local duration 0.90 s, local cost 0.000011 USD
  45 remaining, local duration 1.00 s, local cost 0.000012 USD
  54 remaining, local duration 1.20 s, local cost 0.000014 USD
  54 remaining, local duration 1.30 s, local cost 0.000015 USD
  54 remaining, local duration 1.60 s, local cost 0.000019 USD
  54 remaining, local duration 2.00 s, local cost 0.000023 USD
  45 remaining, local duration 2.30 s, local cost 0.000026 USD
  52 remaining, local duration 2.50 s, local cost 0.000028 USD
  45 remaining, local duration 0.90 s, local cost 0.000011 USD
  54 remaining, local duration 1.00 s, local cost 0.000012 USD
  35 remaining, local duration 0.80 s, local cost 0.000010 USD
  54 remaining, local duration 0.90 s, local cost 0.000012 USD
  35 remaining, local duration 1.10 s, local cost 0.000013 USD
  45 remaining, local duration 1.10 s, local cost 0.000014 USD
  35 remaining, local duration 2.00 s, local cost 0.000023 USD
  34 remaining, local duration 2.30 s, local cost 0.000026 USD
  35 remaining, local duration 1.10 s, local cost 0.000014 USD
  26 remaining, local duration 1.20 s, local cost 0.000014 USD
  35 remaining, local duration 1.30 s, local cost 0.000016 USD
  35 remaining, local duration 1.40 s, local cost 0.000017 USD
  26 remaining, local duration 1.70 s, local cost 0.000019 USD
  45 remaining, local duration 1.70 s, local cost 0.000020 USD
  26 remaining, local duration 2.20 s, local cost 0.000025 USD
  34 remaining, local duration 3.50 s, local cost 0.000039 USD
  35 remaining, local duration 0.90 s, local cost 0.000011 USD
  26 remaining, local duration 1.10 s, local cost 0.000014 USD
  34 remaining, local duration 1.50 s, local cost 0.000017 USD
  26 remaining, local duration 1.30 s, local cost 0.000016 USD
  26 remaining, local duration 1.60 s, local cost 0.000019 USD
  17 remaining, local duration 1.80 s, local cost 0.000021 USD
  16 remaining, local duration 2.70 s, local cost 0.000030 USD
  15 remaining, local duration 3.00 s, local cost 0.000033 USD
  18 remaining, local duration 0.10 s, local cost 0.000004 USD
  18 remaining, local duration 0.10 s, local cost 0.000004 USD
   5 remaining, local duration 0.70 s, local cost 0.000010 USD
  17 remaining, local duration 1.00 s, local cost 0.000012 USD
  17 remaining, local duration 1.30 s, local cost 0.000015 USD
  17 remaining, local duration 1.60 s, local cost 0.000019 USD
  26 remaining, local duration 1.70 s, local cost 0.000020 USD
  17 remaining, local duration 1.90 s, local cost 0.000021 USD
  18 remaining, local duration 0.10 s, local cost 0.000003 USD
   6 remaining, local duration 0.10 s, local cost 0.000004 USD
   6 remaining, local duration 0.10 s, local cost 0.000004 USD
   6 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
   6 remaining, local duration 0.10 s, local cost 0.000004 USD
   6 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
overall processing time: 35.35 s, net duration: 101.30 s, invocations 72, cost: 0.001209 USD
configuration was: numpar=8 simulate=False | threshold=10 baseline=none bulk=False
