  72 remaining, local duration 0.90 s, local cost 0.000011 USD
  72 remaining, local duration 1.70 s, local cost 0.000020 USD
  72 remaining, local duration 1.80 s, local cost 0.000021 USD
  72 remaining, local duration 2.50 s, local cost 0.000028 USD
  68 remaining, local duration 6.40 s, local cost 0.000069 USD
  72 remaining, local duration 1.30 s, local cost 0.000015 USD
  63 remaining, local duration 1.50 s, local cost 0.000017 USD
  63 remaining, local duration 1.60 s, local cost 0.000018 USD
  70 remaining, local duration 3.40 s, local cost 0.000037 USD
  71 remaining, local duration 3.30 s, local cost 0.000037 USD
  55 remaining, local duration 1.50 s, local cost 0.000017 USD
  55 remaining, local duration 1.50 s, local cost 0.000017 USD
  55 remaining, local duration 1.60 s, local cost 0.000018 USD
  63 remaining, local duration 3.00 s, local cost 0.000033 USD
  60 remaining, local duration 3.90 s, local cost 0.000042 USD
  47 remaining, local duration 0.60 s, local cost 0.000008 USD
  47 remaining, local duration 1.30 s, local cost 0.000015 USD
  47 remaining, local duration 1.60 s, local cost 0.000018 USD
  55 remaining, local duration 1.80 s, local cost 0.000020 USD
  45 remaining, local duration 4.70 s, local cost 0.000051 USD
  40 remaining, local duration 0.70 s, local cost 0.000009 USD
  40 remaining, local duration 0.90 s, local cost 0.000011 USD
  40 remaining, local duration 1.20 s, local cost 0.000014 USD
  47 remaining, local duration 1.20 s, local cost 0.000014 USD
  47 remaining, local duration 1.70 s, local cost 0.000019 USD
  40 remaining, local duration 1.20 s, local cost 0.000014 USD
  40 remaining, local duration 1.30 s, local cost 0.000015 USD
  40 remaining, local duration 1.60 s, local cost 0.000018 USD
  39 remaining, local duration 1.80 s, local cost 0.000021 USD
  40 remaining, local duration 2.20 s, local cost 0.000025 USD
  29 remaining, local duration 1.10 s, local cost 0.000013 USD
  40 remaining, local duration 1.20 s, local cost 0.000014 USD
  40 remaining, local duration 1.20 s, local cost 0.000014 USD
  40 remaining, local duration 1.40 s, local cost 0.000016 USD
  29 remaining, local duration 2.00 s, local cost 0.000023 USD
  29 remaining, local duration 0.60 s, local cost 0.000008 USD
  24 remaining, local duration 1.60 s, local cost 0.000018 USD
  29 remaining, local duration 1.70 s, local cost 0.000020 USD
  23 remaining, local duration 1.90 s, local cost 0.000022 USD
  28 remaining, local duration 1.80 s, local cost 0.000020 USD
  17 remaining, local duration 1.20 s, local cost 0.000015 USD
  28 remaining, local duration 1.50 s, local cost 0.000017 USD
  28 remaining, local duration 2.60 s, local cost 0.000029 USD
  16 remaining, local duration 2.90 s, local cost 0.000032 USD
  27 remaining, local duration 3.80 s, local cost 0.000041 USD
  17 remaining, local duration 0.90 s, local cost 0.000011 USD
  17 remaining, local duration 1.10 s, local cost 0.000013 USD
   7 remaining, local duration 1.00 s, local cost 0.000012 USD
   7 remaining, local duration 1.60 s, local cost 0.000018 USD
  23 remaining, local duration 1.40 s, local cost 0.000017 USD
   2 remaining, local duration 0.10 s, local cost 0.000004 USD
   8 remaining, local duration 0.10 s, local cost 0.000003 USD
  18 remaining, local duration 0.10 s, local cost 0.000004 USD
   1 remaining, local duration 1.30 s, local cost 0.000015 USD
   1 remaining, local duration 1.70 s, local cost 0.000019 USD
   2 remaining, local duration 0.10 s, local cost 0.000003 USD
   2 remaining, local duration 0.10 s, local cost 0.000003 USD
   2 remaining, local duration 0.10 s, local cost 0.000003 USD
   8 remaining, local duration 0.10 s, local cost 0.000003 USD
   2 remaining, local duration 0.10 s, local cost 0.000003 USD
   0 remaining, local duration 0.10 s, local cost 0.000003 USD
   0 remaining, local duration 0.10 s, local cost 0.000003 USD
   8 remaining, local duration 0.10 s, local cost 0.000003 USD
   2 remaining, local duration 0.10 s, local cost 0.000004 USD
   2 remaining, local duration 0.10 s, local cost 0.000004 USD
overall processing time: 52.42 s, net duration: 96.50 s, invocations 65, cost: 0.001126 USD
configuration was: numpar=5 simulate=False | threshold=30 baseline=none bulk=False
