  72 remaining, local duration 0.80 s, local cost 0.000011 USD
  72 remaining, local duration 1.50 s, local cost 0.000018 USD
  72 remaining, local duration 1.70 s, local cost 0.000020 USD
  72 remaining, local duration 1.20 s, local cost 0.000016 USD
  72 remaining, local duration 2.40 s, local cost 0.000027 USD
  71 remaining, local duration 2.50 s, local cost 0.000028 USD
  71 remaining, local duration 2.90 s, local cost 0.000033 USD
  72 remaining, local duration 0.70 s, local cost 0.000009 USD
  72 remaining, local duration 1.00 s, local cost 0.000012 USD
  72 remaining, local duration 1.40 s, local cost 0.000016 USD
  72 remaining, local duration 1.60 s, local cost 0.000019 USD
  72 remaining, local duration 1.60 s, local cost 0.000020 USD
  72 remaining, local duration 2.30 s, local cost 0.000026 USD
  61 remaining, local duration 4.00 s, local cost 0.000043 USD
  72 remaining, local duration 0.90 s, local cost 0.000011 USD
  54 remaining, local duration 1.30 s, local cost 0.000015 USD
  63 remaining, local duration 1.40 s, local cost 0.000017 USD
  72 remaining, local duration 1.70 s, local cost 0.000019 USD
  63 remaining, local duration 1.50 s, local cost 0.000018 USD
  71 remaining, local duration 1.90 s, local cost 0.000022 USD
  54 remaining, local duration 2.10 s, local cost 0.000024 USD
  54 remaining, local duration 0.90 s, local cost 0.000012 USD
  54 remaining, local duration 1.50 s, local cost 0.000017 USD
  54 remaining, local duration 1.40 s, local cost 0.000016 USD
  53 remaining, local duration 1.80 s, local cost 0.000021 USD
  54 remaining, local duration 2.30 s, local cost 0.000026 USD
  54 remaining, local duration 3.00 s, local cost 0.000033 USD
  53 remaining, local duration 3.10 s, local cost 0.000034 USD
  54 remaining, local duration 1.10 s, local cost 0.000014 USD
  37 remaining, local duration 1.30 s, local cost 0.000015 USD
  37 remaining, local duration 1.40 s, local cost 0.000016 USD
  37 remaining, local duration 1.60 s, local cost 0.000018 USD
  54 remaining, local duration 1.70 s, local cost 0.000019 USD
  53 remaining, local duration 2.30 s, local cost 0.000026 USD
  52 remaining, local duration 3.70 s, local cost 0.000040 USD
  37 remaining, local duration 1.00 s, local cost 0.000012 USD
  37 remaining, local duration 1.20 s, local cost 0.000014 USD
  27 remaining, local duration 1.10 s, local cost 0.000014 USD
  37 remaining, local duration 1.30 s, local cost 0.000016 USD
  37 remaining, local duration 1.50 s, local cost 0.000017 USD
  37 remaining, local duration 1.40 s, local cost 0.000017 USD
  33 remaining, local duration 6.30 s, local cost 0.000067 USD
  16 remaining, local duration 1.20 s, local cost 0.000014 USD
  27 remaining, local duration 1.70 s, local cost 0.000019 USD
  15 remaining, local duration 2.30 s, local cost 0.000026 USD
  14 remaining, local duration 2.50 s, local cost 0.000028 USD
  14 remaining, local duration 2.40 s, local cost 0.000027 USD
  15 remaining, local duration 3.10 s, local cost 0.000034 USD
  25 remaining, local duration 3.30 s, local cost 0.000036 USD
   2 remaining, local duration 0.10 s, local cost 0.000003 USD
  17 remaining, local duration 0.10 s, local cost 0.000003 USD
  17 remaining, local duration 0.10 s, local cost 0.000004 USD
  17 remaining, local duration 0.10 s, local cost 0.000004 USD
  17 remaining, local duration 0.10 s, local cost 0.000004 USD
  16 remaining, local duration 0.90 s, local cost 0.000011 USD
  16 remaining, local duration 1.70 s, local cost 0.000019 USD
  17 remaining, local duration 0.10 s, local cost 0.000003 USD
   2 remaining, local duration 0.10 s, local cost 0.000003 USD
  17 remaining, local duration 0.10 s, local cost 0.000003 USD
   2 remaining, local duration 0.10 s, local cost 0.000004 USD
   2 remaining, local duration 0.10 s, local cost 0.000003 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
   0 remaining, local duration 0.10 s, local cost 0.000004 USD
overall processing time: 40.20 s, net duration: 97.60 s, invocations 63, cost: 0.001141 USD
configuration was: numpar=7 simulate=False | threshold=30 baseline=none bulk=False
