  72 remaining, cumulative cost 0.000019 USD
  72 remaining, cumulative cost 0.000042 USD
  71 remaining, cumulative cost 0.000082 USD
  70 remaining, cumulative cost 0.000131 USD
  65 remaining, cumulative cost 0.000139 USD
  65 remaining, cumulative cost 0.000156 USD
  65 remaining, cumulative cost 0.000174 USD
  70 remaining, cumulative cost 0.000230 USD
  59 remaining, cumulative cost 0.000248 USD
  59 remaining, cumulative cost 0.000264 USD
  59 remaining, cumulative cost 0.000284 USD
  58 remaining, cumulative cost 0.000307 USD
  54 remaining, cumulative cost 0.000318 USD
  54 remaining, cumulative cost 0.000334 USD
  59 remaining, cumulative cost 0.000353 USD
  59 remaining, cumulative cost 0.000379 USD
  59 remaining, cumulative cost 0.000390 USD
  54 remaining, cumulative cost 0.000409 USD
  59 remaining, cumulative cost 0.000427 USD
  49 remaining, cumulative cost 0.000453 USD
  50 remaining, cumulative cost 0.000463 USD
  45 remaining, cumulative cost 0.000477 USD
  54 remaining, cumulative cost 0.000495 USD
  50 remaining, cumulative cost 0.000514 USD
  45 remaining, cumulative cost 0.000529 USD
  41 remaining, cumulative cost 0.000544 USD
  45 remaining, cumulative cost 0.000561 USD
  48 remaining, cumulative cost 0.000617 USD
  35 remaining, cumulative cost 0.000630 USD
  35 remaining, cumulative cost 0.000647 USD
  34 remaining, cumulative cost 0.000674 USD
  32 remaining, cumulative cost 0.000718 USD
  35 remaining, cumulative cost 0.000730 USD
  27 remaining, cumulative cost 0.000750 USD
  22 remaining, cumulative cost 0.000802 USD
  23 remaining, cumulative cost 0.000865 USD
  14 remaining, cumulative cost 0.000880 USD
  27 remaining, cumulative cost 0.000898 USD
  26 remaining, cumulative cost 0.000915 USD
   8 remaining, cumulative cost 0.001000 USD
   3 remaining, cumulative cost 0.001039 USD
   3 remaining, cumulative cost 0.001082 USD
   3 remaining, cumulative cost 0.001129 USD
   3 remaining, cumulative cost 0.001177 USD
   0 remaining, cumulative cost 0.001223 USD
   0 remaining, cumulative cost 0.001269 USD
   0 remaining, cumulative cost 0.001315 USD
   0 remaining, cumulative cost 0.001361 USD
overall processing time: 109.49 s
configuration was: numpar=4 simulate=False
