  72 remaining, cumulative cost 0.000018 USD
  72 remaining, cumulative cost 0.000037 USD
  72 remaining, cumulative cost 0.000061 USD
  71 remaining, cumulative cost 0.000088 USD
  70 remaining, cumulative cost 0.000121 USD
  70 remaining, cumulative cost 0.000155 USD
  71 remaining, cumulative cost 0.000184 USD
  71 remaining, cumulative cost 0.000221 USD
  71 remaining, cumulative cost 0.000258 USD
  69 remaining, cumulative cost 0.000301 USD
  70 remaining, cumulative cost 0.000347 USD
  70 remaining, cumulative cost 0.000396 USD
  64 remaining, cumulative cost 0.000479 USD
  66 remaining, cumulative cost 0.000569 USD
  63 remaining, cumulative cost 0.000670 USD
  64 remaining, cumulative cost 0.000798 USD
  11 remaining, cumulative cost 0.000802 USD
  11 remaining, cumulative cost 0.000805 USD
  11 remaining, cumulative cost 0.000809 USD
  11 remaining, cumulative cost 0.000812 USD
  11 remaining, cumulative cost 0.000816 USD
  10 remaining, cumulative cost 0.000827 USD
  10 remaining, cumulative cost 0.000838 USD
  10 remaining, cumulative cost 0.000850 USD
  10 remaining, cumulative cost 0.000864 USD
  10 remaining, cumulative cost 0.000878 USD
  10 remaining, cumulative cost 0.000891 USD
  10 remaining, cumulative cost 0.000902 USD
  10 remaining, cumulative cost 0.000916 USD
  10 remaining, cumulative cost 0.000935 USD
  10 remaining, cumulative cost 0.000954 USD
  10 remaining, cumulative cost 0.000974 USD
  11 remaining, cumulative cost 0.000977 USD
  11 remaining, cumulative cost 0.000980 USD
  11 remaining, cumulative cost 0.000983 USD
  11 remaining, cumulative cost 0.000986 USD
  11 remaining, cumulative cost 0.000989 USD
  11 remaining, cumulative cost 0.000992 USD
  11 remaining, cumulative cost 0.000995 USD
  11 remaining, cumulative cost 0.000998 USD
  11 remaining, cumulative cost 0.001001 USD
  11 remaining, cumulative cost 0.001004 USD
  11 remaining, cumulative cost 0.001007 USD
  11 remaining, cumulative cost 0.001010 USD
  11 remaining, cumulative cost 0.001013 USD
  11 remaining, cumulative cost 0.001016 USD
  11 remaining, cumulative cost 0.001019 USD
  11 remaining, cumulative cost 0.001022 USD
  11 remaining, cumulative cost 0.001025 USD
  11 remaining, cumulative cost 0.001028 USD
  11 remaining, cumulative cost 0.001031 USD
  11 remaining, cumulative cost 0.001034 USD
  11 remaining, cumulative cost 0.001037 USD
  11 remaining, cumulative cost 0.001040 USD
   0 remaining, cumulative cost 0.001085 USD
   0 remaining, cumulative cost 0.001130 USD
   0 remaining, cumulative cost 0.001175 USD
   0 remaining, cumulative cost 0.001220 USD
   0 remaining, cumulative cost 0.001265 USD
   0 remaining, cumulative cost 0.001310 USD
   0 remaining, cumulative cost 0.001355 USD
   0 remaining, cumulative cost 0.001401 USD
   0 remaining, cumulative cost 0.001446 USD
   0 remaining, cumulative cost 0.001491 USD
overall processing time: 46.35 s
configuration was: numpar=16 simulate=False
