  72 remaining, cumulative cost 0.000017 USD
  71 remaining, cumulative cost 0.000052 USD
  71 remaining, cumulative cost 0.000093 USD
  69 remaining, cumulative cost 0.000148 USD
  68 remaining, cumulative cost 0.000206 USD
  68 remaining, cumulative cost 0.000273 USD
  67 remaining, cumulative cost 0.000348 USD
  61 remaining, cumulative cost 0.000476 USD
  35 remaining, cumulative cost 0.000483 USD
  35 remaining, cumulative cost 0.000493 USD
  35 remaining, cumulative cost 0.000509 USD
  35 remaining, cumulative cost 0.000533 USD
  34 remaining, cumulative cost 0.000558 USD
  32 remaining, cumulative cost 0.000600 USD
  29 remaining, cumulative cost 0.000683 USD
  28 remaining, cumulative cost 0.000782 USD
  10 remaining, cumulative cost 0.000796 USD
  10 remaining, cumulative cost 0.000810 USD
  10 remaining, cumulative cost 0.000824 USD
  10 remaining, cumulative cost 0.000844 USD
  10 remaining, cumulative cost 0.000861 USD
   9 remaining, cumulative cost 0.000878 USD
   9 remaining, cumulative cost 0.000904 USD
   9 remaining, cumulative cost 0.000928 USD
  11 remaining, cumulative cost 0.000931 USD
  11 remaining, cumulative cost 0.000934 USD
  11 remaining, cumulative cost 0.000936 USD
  11 remaining, cumulative cost 0.000939 USD
  11 remaining, cumulative cost 0.000942 USD
  11 remaining, cumulative cost 0.000945 USD
  11 remaining, cumulative cost 0.000948 USD
   0 remaining, cumulative cost 0.000993 USD
overall processing time: 49.97 s
configuration was: numpar=8 simulate=False
