  72 remaining, cumulative cost 0.000024 USD
  72 remaining, cumulative cost 0.000049 USD
  70 remaining, cumulative cost 0.000090 USD
  68 remaining, cumulative cost 0.000148 USD
  69 remaining, cumulative cost 0.000207 USD
  68 remaining, cumulative cost 0.000269 USD
  67 remaining, cumulative cost 0.000339 USD
  66 remaining, cumulative cost 0.000411 USD
  64 remaining, cumulative cost 0.000493 USD
  68 remaining, cumulative cost 0.000575 USD
  66 remaining, cumulative cost 0.000658 USD
  66 remaining, cumulative cost 0.000742 USD
  65 remaining, cumulative cost 0.000827 USD
  68 remaining, cumulative cost 0.000902 USD
  73 remaining, cumulative cost 0.000905 USD
  73 remaining, cumulative cost 0.000908 USD
  73 remaining, cumulative cost 0.000911 USD
  73 remaining, cumulative cost 0.000914 USD
  73 remaining, cumulative cost 0.000917 USD
   0 remaining, cumulative cost 0.000962 USD
   0 remaining, cumulative cost 0.001007 USD
   0 remaining, cumulative cost 0.001052 USD
   0 remaining, cumulative cost 0.001097 USD
   0 remaining, cumulative cost 0.001142 USD
   0 remaining, cumulative cost 0.001187 USD
   0 remaining, cumulative cost 0.001233 USD
   0 remaining, cumulative cost 0.001278 USD
   0 remaining, cumulative cost 0.001324 USD
overall processing time: 32.16 s
configuration was: numpar=14 simulate=False
